record_type,capability_id,capability_name,capability_definition,user_problem,primary_user,current_mvp_scope_status,definition_maturity,strategic_mvp_status,vertical_slice_status,capability_minimum_status,ownership,external_dependencies,exclusions_boundaries,evidence_confidence,claim_ids,decision_ids,resolution_ids,source_paths,open_questions,assumptions
PRODUCT_CAPABILITY,CAP011,Funding / Scholarship Discovery,"Inform users about scholarships, grants, bursaries, aid and other funding opportunities, explain criteria and hand off to providers where action is external.",Funding information is fragmented and eligibility/application conditions are hard to discover.,Students and applicants,MVP — defined,partially defined,IN,NOT_FIRST_VERTICAL_SLICE,DEFINED_AT_INFORMATION_HANDOFF_LEVEL,StudyNexus owns accepted funding information/discovery; provider owns award/application workflow.,Scholarship/funding providers; institution/geography constraints.,Not a scholarship award/disbursement/management platform.,HIGH,C039 C040 C041,D015,R004,Scholarships - Product Discovery Additions 03-09-2026.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/governance/DISCOVERY-CLOSURE.md,Minimum matching/filter criteria.,
PRODUCT_CAPABILITY,CAP012,Catchment / ELDS Information,Explain admission catchment and Educationally Less Developed States (ELDS) rules in the context where they actually apply.,Applicants can misinterpret geographic admission policy as an intrinsic institution attribute.,Applicants; advisers,MVP — defined,well defined,IN,NOT_FIRST_VERTICAL_SLICE,DEFINED,StudyNexus owns representation/explanation; admission authorities/institutions own policy.,JAMB/institution admission sources; geography references.,Not a generic geography label attached permanently to an institution.,HIGH,C036 C037,D014,R015,Catchments-ELDS-Additions-03-09-2026.md,Context-specific authority details by admission cycle.,
PRODUCT_CAPABILITY,CAP013,News / Time-Sensitive Education Information,Publish time-sensitive education reporting/updates while keeping durable canonical facts in their proper information layer.,Users need current changes and announcements without confusing reporting with durable truth.,All primary users,MVP — defined,well defined,IN,NOT_FIRST_VERTICAL_SLICE,DEFINED,StudyNexus owns editorial news content; durable external facts remain represented canonically elsewhere.,Primary/official sources and other attributable reporting sources.,News does not become source of truth merely because it reports a change.,HIGH,C045 C046 C076,D016,R004,News Post-UTME - Product Discovery Additions V2 03-09-2026.md,Editorial minimum/taxonomy refinements.,
PRODUCT_CAPABILITY,CAP014,Education Services & Access,"Help users discover, understand and reach education-related services/tasks and authoritative access points.","Users need to know what service to use, where/how to access it, and who actually performs it.",Learners and other education-service users,MVP — defined,partially defined,IN,NOT_FIRST_VERTICAL_SLICE,BOUNDARY_REFINEMENT_REQUIRED,StudyNexus owns information/guidance/discovery; external provider/authority owns service execution.,"Service providers, government/education bodies, physical/online access points.",StudyNexus does not execute external transactions/services unless future evidence changes the boundary.,HIGH,C048 C049 C077,D018,R004 R016,Education Services & Access - Product Discovery Additions 03-09-2026.md,Capability minimum/service taxonomy.,
PRODUCT_CAPABILITY,CAP015,Examination Information / Schedules,"Provide trustworthy examination information and, where defined, time-specific administration/schedule changes without operating the examination.","Students need reliable, timely exam information scattered across authorities and notices.",Students/recent graduates; advisers,MVP — boundary requires refinement,underspecified,IN,NOT_FIRST_VERTICAL_SLICE,CAPABILITY_MINIMUM_REQUIRES_REFINEMENT,StudyNexus owns accepted information representation; examination authority owns exam/schedule facts.,Examination authorities and official notices.,"Exam registration, payment, results/certification and practice engine are separate/outside this capability.",MEDIUM,C043 C044 C078,D019,R010,Proposed Product Discovery Addition 02-09-2026.md,How much of Product→Administration→Schedule Event proposal is canonical; minimum exams/data.,Detailed September schedule model remains proposed.
PRODUCT_CAPABILITY,CAP016,Evergreen Guides / Resources,Provide longer-lived explanatory education content and structured resources that support decisions and understanding.,"Listings alone do not explain processes, concepts and pathways.",All primary users,MVP — underspecified,underspecified,IN,NOT_FIRST_VERTICAL_SLICE,CAPABILITY_MINIMUM_REQUIRES_REFINEMENT,StudyNexus owns/curates editorial evergreen content; cited external facts retain their own authority.,Sources/publishers where used.,"Historical content hierarchy is evidence, not mandatory structure.",MEDIUM,C046 C075,,R011,News Post-UTME - Product Discovery Additions V2 03-09-2026.md | STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/24-final-platform-and-capability-architecture.md,Minimum content types and lifecycle; role of books/shelves/chapters/pages.,
PRODUCT_CAPABILITY,CAP017,Career Pathways,Connect education choices to plausible career directions and next-step information without promising employment outcomes.,Learners need to understand downstream implications of study choices.,Secondary students/recent graduates; undergraduates,MVP — underspecified,underspecified,IN,NOT_FIRST_VERTICAL_SLICE,CAPABILITY_MINIMUM_REQUIRES_RESEARCH,StudyNexus product responsibility remains to be refined.,Career/occupation sources where later selected.,Does not imply job placement or deterministic career prediction.,MEDIUM,C061 C073,,R006,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md | STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md,"User problem validation, minimum information, evidence/authority model.",
PRODUCT_CAPABILITY,CAP018,Undergraduate Current Journey / WF7,Support current undergraduates with information relevant to their ongoing educational journey and next decisions.,Existing students have education information needs beyond initial admission.,Undergraduates,MVP — defined,partially defined,IN,NOT_FIRST_VERTICAL_SLICE,CAPABILITY_MINIMUM_REQUIRES_REFINEMENT,StudyNexus owns the information journey; external institutions/providers own underlying facts/actions.,"Institutions, funding/career/service sources depending on sub-journey.","WF7 is a workflow label, not necessarily a final surface.",HIGH,C015 C072,,R005,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md | STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md,Exact capability minimum and boundaries.,
PRODUCT_CAPABILITY,CAP019,Transfer Information,"Help users understand transfer options, requirements and relevant institution/programme constraints.",Current students considering a move need reliable transition information.,Undergraduates/transfer candidates,MVP — underspecified,underspecified,IN,NOT_FIRST_VERTICAL_SLICE,CAPABILITY_MINIMUM_REQUIRES_RESEARCH,StudyNexus product responsibility to represent/explain; institutions/authorities own rules.,Institution/regulatory sources.,Does not execute transfer application.,MEDIUM,C062 C074,,R007,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md | STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md,"Jurisdiction semantics, minimum information and relationship to admissions/offering facts.",
PRODUCT_CAPABILITY,CAP020,Postgraduate Pathways,Help users discover and understand postgraduate study opportunities and entry pathways.,Graduates/undergraduates need reliable continuation options.,Undergraduates; graduates,MVP — underspecified,underspecified,IN,NOT_FIRST_VERTICAL_SLICE,CAPABILITY_MINIMUM_REQUIRES_RESEARCH,StudyNexus owns discovery/information representation; institutions own offering/admission facts.,Institution/regulatory sources.,Does not execute postgraduate admission.,MEDIUM,C062 C074,,R007,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md | STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md,"Scope, user model and minimum information.",
PRODUCT_CAPABILITY,CAP021,Internship Information / Discovery,Help users discover and understand internship/practical-experience opportunities relevant to education/career journeys.,Students need practical-experience pathways and opportunity information.,Undergraduates; recent graduates,MVP — underspecified,underspecified,IN,NOT_FIRST_VERTICAL_SLICE,CAPABILITY_MINIMUM_REQUIRES_RESEARCH,StudyNexus role remains information/discovery unless stronger evidence expands it.,Opportunity providers/employers where relevant.,"Does not imply application, placement or employer workflow execution.",MEDIUM,C062 C074,,R007,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md | STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md,"Whether to aggregate, curate or guide only; minimum data/evidence.",
PRODUCT_CAPABILITY,CAP022,Community/User-Contributed Information Input,Accept user reports or contributions as evidence/candidate input to information-quality processes.,"StudyNexus needs a feedback path for missing, stale or incorrect information without letting unverified input become truth.",Public users; operators,MVP — defined,partially defined,IN,NOT_FIRST_VERTICAL_SLICE,DEFINED_AT_INPUT_REVIEW_LEVEL,StudyNexus owns intake/review; contributor owns submission; canonical owner remains the accepted information layer.,Users and underlying source evidence.,Does not imply a full social/community network.,HIGH,C025 C063,,R008,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md,Submission/identity/moderation minimums.,
PRODUCT_CAPABILITY,CAP023,Public Accounts / Persistent Identity,Provide persistent user identity only where it supports valuable persistent/personal capabilities while preserving anonymous core discovery/search/comparison.,Some ongoing journeys may need saved state or identity; core discovery must not depend on it.,Returning users with persistent needs,MVP — boundary requires refinement,underspecified,IN,NOT_FIRST_VERTICAL_SLICE,CAPABILITY_MINIMUM_REQUIRES_REFINEMENT,StudyNexus owns account experience if introduced.,Authentication/communication mechanisms are technical dependencies.,Anonymous core remains available; account is not a prerequisite for core discovery.,MEDIUM,C016,D003 D021,R012,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md | Current remediation protocol (user instruction),What capabilities justify account/privacy cost.,Current canonicalization corrects earlier historical-phase bias.
PRODUCT_CAPABILITY,CAP024,Personalization,Adapt information/guidance to user context or persistent preferences without making personalization mandatory for core use.,Returning users may benefit from reduced repetition and more relevant guidance.,Returning/persistent users,MVP — underspecified,underspecified,IN,NOT_FIRST_VERTICAL_SLICE,CAPABILITY_MINIMUM_REQUIRES_RESEARCH,StudyNexus owns personalization behavior; source facts remain unchanged.,Potential user account/preferences; canonical information.,Must not obscure source/canonical truth or require identity for core discovery.,LOW-MEDIUM,C016,D003 D021,R012,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md | Current remediation protocol (user instruction),"Desired outcomes, inputs, privacy and anonymous/persistent boundaries.",
PRODUCT_CAPABILITY,CAP025,Notifications,Alert users to relevant changing information/opportunities when an appropriate delivery/consent context exists.,Users may miss deadlines or important changes in ongoing journeys.,Users with ongoing/time-sensitive needs,MVP — underspecified,underspecified,IN,NOT_FIRST_VERTICAL_SLICE,CAPABILITY_MINIMUM_REQUIRES_RESEARCH,StudyNexus owns notification decision/experience if introduced.,Communication channels; user preferences/consent; trusted source updates.,Must not notify from unreviewed/low-confidence changes without defined trust rules.,LOW-MEDIUM,C016,D021,R012,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md | Current remediation protocol (user instruction),"Triggers, channels, consent, account dependency, trust thresholds.",
PRODUCT_CAPABILITY,CAP026,Accreditation / Approval / Qualification-Recognition Information,Represent and explain externally granted regulatory/recognition statuses using the correct contextual meaning rather than a universal Recognition label.,"Users need to judge legitimacy/quality/recognition of institutions, offerings and qualifications.",All decision-making users,MVP — boundary requires refinement,underspecified,IN,NOT_FIRST_VERTICAL_SLICE,CAPABILITY_MINIMUM_REQUIRES_REFINEMENT,StudyNexus owns accepted representation/explanation; authorities own decisions/statuses.,Regulators/accreditation/recognition bodies.,Do not invent one universal status model across jurisdictions/scopes.,MEDIUM-HIGH,C064 C079 C080,D023,R003,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md | STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/16-domain-discovery-topic3.md,"First-scope facts, authority semantics, effective dates and jurisdiction differences.",
PRODUCT_PRINCIPLE / CROSS_CUTTING_CONSTRAINT,CAP027,Internationalization Semantics,Product-wide jurisdiction-aware semantic principle: keep StudyNexus concepts capable of representing jurisdictional variation while public delivery remains Nigeria-first.,Nigeria-specific assumptions can corrupt future correctness and even current cross-border information.,Product-wide,NOT_APPLICABLE — PRODUCT PRINCIPLE / CROSS_CUTTING CONSTRAINT,partially defined,PRODUCT_PRINCIPLE,NOT_APPLICABLE — CROSS_CUTTING,NOT_APPLICABLE — PRINCIPLE,StudyNexus applies jurisdiction-aware semantics across relevant product capabilities.,Country/regulatory/reference sources.,Not an ordinary standalone product capability; does not imply multi-country public rollout in current delivery.,HIGH,C038 C051 C057 C084,D005,R014,Catchments-ELDS-Additions-03-09-2026.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md,Which current concepts require explicit jurisdiction qualifiers.,
PRODUCT_CAPABILITY,CAP028,Rankings / Institutional Intelligence,Potential comparative ranking/metric/intelligence capability; product membership is not yet established by substantive discovery evidence.,"Potential comparison/reputation need is hypothesized, not adequately reconstructed.",Potential institution-comparison users,GENUINELY UNRESOLVED WHETHER PRODUCT CAPABILITY,genuinely unresolved,UNKNOWN,NOT_ESTABLISHED,NOT_ESTABLISHED,Undetermined.,Potential third-party ranking/metric sources.,Must not be inferred from architecture documents or empty discovery file.,LOW,C050 C085,,R009,Ranking - Product Discovery Additions 03-09-2026.md,Does a validated user problem exist? Import vs normalize vs compute? What decisions would it support?,
PRODUCT_CAPABILITY,CAP029,Institution / Provider Self-Service,Direct self-service tools for institutions/providers to maintain their presence or workflows.,Not a current product responsibility under explicit historical/current boundary evidence.,Institution/provider actors,EXCLUDED,well defined,OUT,NOT_APPLICABLE,NOT_APPLICABLE,"External institutions/providers remain source/actors, not current self-service users.",External institutional/provider systems.,Explicitly outside current product boundary; may be reconsidered later only by a new decision.,HIGH,C012,,R013,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md,,
PRODUCT_CAPABILITY,CAP030,Public API / Developer Platform,Public developer access to StudyNexus data/capabilities.,No current user/product problem establishes this as part of the product; explicitly excluded historically and not superseded.,External developers,EXCLUDED,well defined,OUT,NOT_APPLICABLE,NOT_APPLICABLE,Not current product responsibility.,None.,Explicit current exclusion absent stronger superseding evidence.,HIGH,C012,,R013,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md,,
PRODUCT_CAPABILITY,CAP031,External Transaction Execution,"Executing enrolment/admission applications, exam registration/payment/results/certification, scholarship award/disbursement, visa/government processing or provider transactions.",StudyNexus is an information/discovery/handoff product rather than operator of these external transactions.,All users,EXCLUDED,well defined,OUT,NOT_APPLICABLE,NOT_APPLICABLE,External authorities/providers own transaction execution.,"Institutions, exam bodies, scholarship providers, government/service systems.",Product may explain and hand off but does not execute these workflows.,HIGH,C014 C039 C048 C067,D001 D018,R013,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md | Scholarships - Product Discovery Additions 03-09-2026.md | Education Services & Access - Product Discovery Additions 03-09-2026.md,,
PRODUCT_CAPABILITY,CAP032,Multi-Country Public Rollout,Launching public StudyNexus product coverage across multiple countries.,International expansion is strategically possible but current public delivery is Nigeria-first.,Future international users,EXCLUDED,well defined,OUT,NOT_APPLICABLE,NOT_APPLICABLE,Not current delivery scope.,Country-specific authorities/data.,International semantics remain MVP principle; rollout itself is outside current initial delivery.,HIGH,C038 C057 C084,D005,R014,Catchments-ELDS-Additions-03-09-2026.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md,,
PRODUCT_CAPABILITY,CAP033,Automated Eligibility Evaluation,Deterministically evaluate a candidate profile against structured admission/funding rules and produce a machine-derived eligibility outcome.,Could reduce manual interpretation once rules/data are sufficiently reliable.,Applicants,CURRENTLY DEFERRED — evidence required,partially defined,OUT_CURRENTLY_DEFERRED,NOT_FIRST_VERTICAL_SLICE,DEFERRED_UNTIL_RULES_RELIABLE,Future StudyNexus decision-support responsibility; external authorities retain final eligibility/admission decisions.,Structured authoritative rules and reliable candidate inputs.,Current MVP retains requirements/self-assessment instead; no authoritative admission decision.,HIGH,C017,D004,R015,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md,"Rule reliability, explainability, jurisdiction variation, profile model.",
PRODUCT_CAPABILITY,CAP034,Examination Practice / Assessment,"Practice questions, learner attempts, scoring, progress and related preparation functionality.","Could support exam preparation, but is distinct from current exam-information need.",Learners preparing for exams,CURRENTLY DEFERRED — evidence required,underspecified,OUT_CURRENTLY_DEFERRED,NOT_FIRST_VERTICAL_SLICE,DEFERRED,Future product responsibility if reactivated.,Exam content/question sources and learner state.,Distinct from examination information/schedules.,HIGH,C044 C075,D019,R010,Proposed Product Discovery Addition 02-09-2026.md | STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/24-final-platform-and-capability-architecture.md,Reactivation criteria and product evidence.,
PRODUCT_CAPABILITY,CAP035,Full Social / Community Product,"A persistent social/community experience with profiles, feeds, discussion or other community interaction beyond evidence/report submissions.",Possible community value is not sufficiently discovered; user contributions alone do not establish a social product.,Potential community users,GENUINELY UNRESOLVED WHETHER PRODUCT CAPABILITY,genuinely unresolved,UNKNOWN,NOT_ESTABLISHED,NOT_ESTABLISHED,Undetermined.,Identity/moderation/community systems if ever adopted.,Current MVP includes contribution/report input only.,LOW-MEDIUM,C025 C063,,R008,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md,Whether a social/community problem/opportunity exists beyond information-quality contributions.,
