reconstructed_document_id,document_kind,output_path,title,source_ids,authority_sources,merge_type,material_changes,historical_conflicts,resolution_reference,editorial_notes,reviewer_status
COR-DOM-002,SOURCE_RECONSTRUCTION,04-Domain-and-Concepts/Institution-Offering-Discovery-Programme-and-Classification.md,"Institution Offering, Discovery Programme and Classification",SRC-0555,,SINGLE_SOURCE_NORMALIZATION,Deduplicated historical copies; organized by subject; current product meaning constrained by accepted Product Discovery.,Historical differences retained through source lineage/status; no false consensus asserted.,R001 | R002,"Central dossier for the deliberately separated offering, discovery, classification and historical ProgrammeInstance meanings.",QA_CHECKED
COR-DOM-003,AUTHORITY_OVERLAY,04-Domain-and-Concepts/Regulatory-Status-Accreditation-and-Qualification-Recognition.md,"Regulatory Status, Accreditation and Qualification Recognition",,StudyNexus-Canonical-Product-Discovery-FINAL.md | StudyNexus-Canonical-Product-Concept-Register-FINAL.csv | StudyNexus-Canonical-Capability-Scope-FINAL.csv | StudyNexus-Product-Discovery-Resolution-Ledger-FINAL.csv | StudyNexus-Product-Discovery-Traceability-Map.csv | StudyNexus-Product-Discovery-Handoff-README.md,AUTHORITY_OVERLAY_NAVIGATION,Current-authority navigation overlay derived from the accepted Product Discovery/final supporting artifacts; no historical SRC-* lineage is claimed.,Historical evidence remains in related SOURCE_RECONSTRUCTION dossiers; this overlay does not create independent historical evidence.,R003 | R016,Preserves distinct regulatory/trust concepts rather than a universal Recognition abstraction.,QA_CHECKED
COR-DOM-004,SOURCE_RECONSTRUCTION,04-Domain-and-Concepts/Terminology-and-Vocabulary-Evolution.md,Terminology and Vocabulary Evolution,SRC-0519 | SRC-0485 | SRC-0291,,MERGED_EVOLVING_SOURCES,Deduplicated historical copies; organized by subject; current product meaning constrained by accepted Product Discovery.,Historical differences retained through source lineage/status; no false consensus asserted.,R001 | R002 | R003 | R010 | R016 | R020,Tracks overloaded and changed terminology without rewriting historical language as though it were current.,QA_CHECKED
COR-REQ-001,SOURCE_RECONSTRUCTION,05-Requirements-and-Rules/Business-Rules-Requirements-and-Invariants.md,"Business Rules, Requirements and Invariants",SRC-0537 | SRC-0492 | SRC-0496,,MERGED_EVOLVING_SOURCES,Deduplicated historical copies; organized by subject; current product meaning constrained by accepted Product Discovery.,Historical differences retained through source lineage/status; no false consensus asserted.,R015,Collects historical requirement/rule material while preventing old technical invariants from becoming current product requirements automatically.,QA_CHECKED
COR-REQ-002,AUTHORITY_OVERLAY,05-Requirements-and-Rules/Publication-Visibility-and-Indexability.md,"Publication, Visibility and Indexability",,StudyNexus-Canonical-Product-Discovery-FINAL.md | StudyNexus-Canonical-Product-Concept-Register-FINAL.csv | StudyNexus-Canonical-Capability-Scope-FINAL.csv | StudyNexus-Product-Discovery-Resolution-Ledger-FINAL.csv | StudyNexus-Product-Discovery-Traceability-Map.csv | StudyNexus-Product-Discovery-Handoff-README.md,AUTHORITY_OVERLAY_NAVIGATION,Current-authority navigation overlay derived from the accepted Product Discovery/final supporting artifacts; no historical SRC-* lineage is claimed.,Historical evidence remains in related SOURCE_RECONSTRUCTION dossiers; this overlay does not create independent historical evidence.,R017,Explains publication/indexability as separate from canonical product truth.,QA_CHECKED
COR-CONTENT-001,AUTHORITY_OVERLAY,06-Content-and-Knowledge/Evergreen-Information-Guides-and-Resources.md,"Evergreen Information, Guides and Resources",,StudyNexus-Canonical-Product-Discovery-FINAL.md | StudyNexus-Canonical-Product-Concept-Register-FINAL.csv | StudyNexus-Canonical-Capability-Scope-FINAL.csv | StudyNexus-Product-Discovery-Resolution-Ledger-FINAL.csv | StudyNexus-Product-Discovery-Traceability-Map.csv | StudyNexus-Product-Discovery-Handoff-README.md,AUTHORITY_OVERLAY_NAVIGATION,Current-authority navigation overlay derived from the accepted Product Discovery/final supporting artifacts; no historical SRC-* lineage is claimed.,Historical evidence remains in related SOURCE_RECONSTRUCTION dossiers; this overlay does not create independent historical evidence.,R011,Consolidates durable explanatory content and resource material.,QA_CHECKED
COR-CONTENT-002,SOURCE_RECONSTRUCTION,06-Content-and-Knowledge/News-Editorial-and-Time-Sensitive-Information.md,"News, Editorial and Time-Sensitive Information",SRC-0005 | SRC-0006,,MERGED_EVOLVING_SOURCES,Deduplicated historical copies; organized by subject; current product meaning constrained by accepted Product Discovery.,Historical differences retained through source lineage/status; no false consensus asserted.,R011,Preserves News as time-sensitive information and not the owner of durable canonical facts.,QA_CHECKED
COR-SEARCH-001,SOURCE_RECONSTRUCTION,07-Discovery-Search-and-SEO/Search-vs-Discovery.md,Search vs Discovery,SRC-0009 | SRC-0534 | SRC-0535 | SRC-0024 | SRC-0101 | SRC-0102 | SRC-0129 | SRC-0295 | SRC-0306 | SRC-0307,,MERGED_EVOLVING_SOURCES,Deduplicated historical copies; organized by subject; current product meaning constrained by accepted Product Discovery.,Historical differences retained through source lineage/status; no false consensus asserted.,R001 | R002 | R012 | R017 | R020,Separates product search/discovery behavior from search-engine implementation.,QA_CHECKED
COR-SEARCH-002,AUTHORITY_OVERLAY,07-Discovery-Search-and-SEO/SEO-Canonical-URLs-and-Discovery-Landing-Pages.md,"SEO, Canonical URLs and Discovery Landing Pages",,StudyNexus-Canonical-Product-Discovery-FINAL.md | StudyNexus-Canonical-Product-Concept-Register-FINAL.csv | StudyNexus-Canonical-Capability-Scope-FINAL.csv | StudyNexus-Product-Discovery-Resolution-Ledger-FINAL.csv | StudyNexus-Product-Discovery-Traceability-Map.csv | StudyNexus-Product-Discovery-Handoff-README.md,AUTHORITY_OVERLAY_NAVIGATION,Current-authority navigation overlay derived from the accepted Product Discovery/final supporting artifacts; no historical SRC-* lineage is claimed.,Historical evidence remains in related SOURCE_RECONSTRUCTION dossiers; this overlay does not create independent historical evidence.,R017,"Consolidates SEO/discovery-publication reasoning, including the distinction between dynamic queries and canonical published pages.",QA_CHECKED
COR-SEARCH-003,SOURCE_RECONSTRUCTION,07-Discovery-Search-and-SEO/Historical-Search-Engine-and-Typesense-Design.md,Historical Search Engine and Typesense Design,SRC-0542,,SINGLE_SOURCE_NORMALIZATION,Deduplicated historical copies; organized by subject; current product meaning constrained by accepted Product Discovery.,Historical differences retained through source lineage/status; no false consensus asserted.,,Preserves historical search implementation proposals without asserting a current architecture decision.,QA_CHECKED
COR-INST-001,AUTHORITY_OVERLAY,08-Institutions-Programmes-and-Geography/Programme-Discovery-Classification-and-Source-Naming.md,"Programme Discovery, Classification and Source Naming",,StudyNexus-Canonical-Product-Discovery-FINAL.md | StudyNexus-Canonical-Product-Concept-Register-FINAL.csv | StudyNexus-Canonical-Capability-Scope-FINAL.csv | StudyNexus-Product-Discovery-Resolution-Ledger-FINAL.csv | StudyNexus-Product-Discovery-Traceability-Map.csv | StudyNexus-Product-Discovery-Handoff-README.md,AUTHORITY_OVERLAY_NAVIGATION,Current-authority navigation overlay derived from the accepted Product Discovery/final supporting artifacts; no historical SRC-* lineage is claimed.,Historical evidence remains in related SOURCE_RECONSTRUCTION dossiers; this overlay does not create independent historical evidence.,R013 | R014 | R017,"Detailed supporting dossier for source-faithful offerings, optional discovery classification and jurisdictional classification schemes.",QA_CHECKED
COR-INST-002,SOURCE_RECONSTRUCTION,08-Institutions-Programmes-and-Geography/Geography-Catchment-and-ELDS.md,"Geography, Catchment and ELDS",SRC-0001,,SINGLE_SOURCE_NORMALIZATION,Deduplicated historical copies; organized by subject; current product meaning constrained by accepted Product Discovery.,Historical differences retained through source lineage/status; no false consensus asserted.,R014 | R019,Consolidates catchment/ELDS and geography-aware product semantics.,QA_CHECKED
COR-ADM-001,SOURCE_RECONSTRUCTION,09-Admissions-Funding-and-Examinations/Admissions-and-Admission-Cycles.md,Admissions and Admission Cycles,SRC-0493,,SINGLE_SOURCE_NORMALIZATION,Deduplicated historical copies; organized by subject; current product meaning constrained by accepted Product Discovery.,Historical differences retained through source lineage/status; no false consensus asserted.,R015,Consolidates admissions information and historical modelling evidence.,QA_CHECKED
COR-ADM-002,SOURCE_RECONSTRUCTION,09-Admissions-Funding-and-Examinations/Funding-and-Scholarships.md,Funding and Scholarships,SRC-0010,,SINGLE_SOURCE_NORMALIZATION,Deduplicated historical copies; organized by subject; current product meaning constrained by accepted Product Discovery.,Historical differences retained through source lineage/status; no false consensus asserted.,R003 | R015 | R016,Consolidates scholarship/funding product evidence and historical model proposals.,QA_CHECKED
COR-ADM-003,SOURCE_RECONSTRUCTION,09-Admissions-Funding-and-Examinations/Examinations-Schedules-and-Timetables.md,"Examinations, Schedules and Timetables",SRC-0008,,SINGLE_SOURCE_NORMALIZATION,Deduplicated historical copies; organized by subject; current product meaning constrained by accepted Product Discovery.,Historical differences retained through source lineage/status; no false consensus asserted.,R010,Consolidates examination-information and schedule semantics while preserving practice/assessment as a separate deferral.,QA_CHECKED
COR-SVC-001,SOURCE_RECONSTRUCTION,10-Services-Resources-and-News/Education-Services-and-Access.md,Education Services and Access,SRC-0002,,SINGLE_SOURCE_NORMALIZATION,Deduplicated historical copies; organized by subject; current product meaning constrained by accepted Product Discovery.,Historical differences retained through source lineage/status; no false consensus asserted.,,Consolidates Education Services & Access material; Organization remains unresolved rather than universalized.,QA_CHECKED
COR-QUAL-001,SOURCE_RECONSTRUCTION,11-Information-Quality-and-Community/Information-Quality-Corrections-and-Community-Inputs.md,"Information Quality, Corrections and Community Inputs",SRC-0007 | SRC-0531,,MERGED_EVOLVING_SOURCES,Deduplicated historical copies; organized by subject; current product meaning constrained by accepted Product Discovery.,Historical differences retained through source lineage/status; no false consensus asserted.,R008 | R018 | R019,Consolidates correction/contribution flows while preserving the distinction between user input and canonical truth.,QA_CHECKED
COR-INTL-001,AUTHORITY_OVERLAY,12-Internationalisation/Internationalisation-Semantics-and-Jurisdiction.md,Internationalisation Semantics and Jurisdiction,,StudyNexus-Canonical-Product-Discovery-FINAL.md | StudyNexus-Canonical-Product-Concept-Register-FINAL.csv | StudyNexus-Canonical-Capability-Scope-FINAL.csv | StudyNexus-Product-Discovery-Resolution-Ledger-FINAL.csv | StudyNexus-Product-Discovery-Traceability-Map.csv | StudyNexus-Product-Discovery-Handoff-README.md,AUTHORITY_OVERLAY_NAVIGATION,Current-authority navigation overlay derived from the accepted Product Discovery/final supporting artifacts; no historical SRC-* lineage is claimed.,Historical evidence remains in related SOURCE_RECONSTRUCTION dossiers; this overlay does not create independent historical evidence.,R014 | R015 | R018,Treats internationalization semantics as a cross-cutting constraint while current public delivery remains Nigeria-first.,QA_CHECKED
COR-DATA-001,AUTHORITY_OVERLAY,13-Data-and-Provenance/Canonical-Information-Source-Evidence-and-Derived-State.md,"Canonical Information, Source Evidence and Derived State",,StudyNexus-Canonical-Product-Discovery-FINAL.md | StudyNexus-Canonical-Product-Concept-Register-FINAL.csv | StudyNexus-Canonical-Capability-Scope-FINAL.csv | StudyNexus-Product-Discovery-Resolution-Ledger-FINAL.csv | StudyNexus-Product-Discovery-Traceability-Map.csv | StudyNexus-Product-Discovery-Handoff-README.md,AUTHORITY_OVERLAY_NAVIGATION,Current-authority navigation overlay derived from the accepted Product Discovery/final supporting artifacts; no historical SRC-* lineage is claimed.,Historical evidence remains in related SOURCE_RECONSTRUCTION dossiers; this overlay does not create independent historical evidence.,R015 | R018 | R019,Consolidates SOURCE/CANDIDATE/CANONICAL/DERIVED reasoning and source-authority boundaries.,QA_CHECKED
COR-DATA-002,SOURCE_RECONSTRUCTION,13-Data-and-Provenance/Provenance-Lineage-Versioning-and-Missing-Delete.md,"Provenance, Lineage, Versioning and MISSING ≠ DELETE",SRC-0526 | SRC-0119,,MERGED_EVOLVING_SOURCES,Deduplicated historical copies; organized by subject; current product meaning constrained by accepted Product Discovery.,Historical differences retained through source lineage/status; no false consensus asserted.,R004 | R018 | R019,Preserves provenance and the MISSING ≠ DELETE safety rule across product and acquisition evidence.,QA_CHECKED
COR-DATA-003,SOURCE_RECONSTRUCTION,13-Data-and-Provenance/Historical-Data-Model-Schema-and-JSONB.md,"Historical Data Model, Schema and JSONB",SRC-0003 | SRC-0520 | SRC-0019 | SRC-0111 | SRC-0292,,MERGED_EVOLVING_SOURCES,Deduplicated historical copies; organized by subject; current product meaning constrained by accepted Product Discovery.,Historical differences retained through source lineage/status; no false consensus asserted.,,Preserves historical data-model/schema proposals without promoting them into current architecture.,QA_CHECKED
COR-ACQ-001,SOURCE_RECONSTRUCTION,14-Acquisition-and-Operations/Data-Acquisition-Ingestion-and-Reconciliation.md,"Data Acquisition, Ingestion and Reconciliation",SRC-0510 | SRC-0518 | SRC-0527 | SRC-0020 | SRC-0097 | SRC-0188 | SRC-0290 | SRC-0347 | SRC-0461,,MERGED_EVOLVING_SOURCES,Deduplicated historical copies; organized by subject; current product meaning constrained by accepted Product Discovery.,Historical differences retained through source lineage/status; no false consensus asserted.,R002,Consolidates historical acquisition pipeline material and current product-level trust boundaries.,QA_CHECKED
COR-ACQ-002,AUTHORITY_OVERLAY,14-Acquisition-and-Operations/Acquisition-Trust-Boundary-and-Operational-Safety.md,Acquisition Trust Boundary and Operational Safety,,StudyNexus-Canonical-Product-Discovery-FINAL.md | StudyNexus-Canonical-Product-Concept-Register-FINAL.csv | StudyNexus-Canonical-Capability-Scope-FINAL.csv | StudyNexus-Product-Discovery-Resolution-Ledger-FINAL.csv | StudyNexus-Product-Discovery-Traceability-Map.csv | StudyNexus-Product-Discovery-Handoff-README.md,AUTHORITY_OVERLAY_NAVIGATION,Current-authority navigation overlay derived from the accepted Product Discovery/final supporting artifacts; no historical SRC-* lineage is claimed.,Historical evidence remains in related SOURCE_RECONSTRUCTION dossiers; this overlay does not create independent historical evidence.,,Records established acquisition safety principles without turning acquisition mechanics into product capabilities.,QA_CHECKED
COR-TECH-001,SOURCE_RECONSTRUCTION,15-Technical-and-Architecture/Historical-Platform-and-Application-Architecture.md,Historical Platform and Application Architecture,SRC-0503 | SRC-0504 | SRC-0506 | SRC-0507 | SRC-0508 | SRC-0511 | SRC-0516 | SRC-0529 | SRC-0018 | SRC-0095 | SRC-0109 | SRC-0186 | SRC-0231 | SRC-0288 | SRC-0546,,MERGED_EVOLVING_SOURCES,Deduplicated historical copies; organized by subject; current product meaning constrained by accepted Product Discovery.,Historical differences retained through source lineage/status; no false consensus asserted.,R009 | R017,Subject-level history of platform/application architecture; explicitly not a current architecture baseline.,QA_CHECKED
COR-TECH-002,SOURCE_RECONSTRUCTION,15-Technical-and-Architecture/Historical-Domain-DDD-and-Aggregate-Design.md,"Historical Domain, DDD and Aggregate Design",SRC-0494 | SRC-0495 | SRC-0497 | SRC-0498 | SRC-0499 | SRC-0500 | SRC-0501 | SRC-0502 | SRC-0505 | SRC-0512 | SRC-0514 | SRC-0515 | SRC-0523 | SRC-0528 | SRC-0016 | SRC-0017 | SRC-0093 | SRC-0094 | SRC-0096 | SRC-0128 | SRC-0184 | SRC-0185 | SRC-0286 | SRC-0287 | SRC-0300,,MERGED_EVOLVING_SOURCES,Deduplicated historical copies; organized by subject; current product meaning constrained by accepted Product Discovery.,Historical differences retained through source lineage/status; no false consensus asserted.,R012 | R016,Preserves historical DDD/domain work as design history; it must not override accepted Product Discovery or pre-empt future DDD.,QA_CHECKED
COR-TECH-003,SOURCE_RECONSTRUCTION,15-Technical-and-Architecture/Historical-Implementation-Blueprint-and-Laravel-Structure.md,Historical Implementation Blueprint and Laravel Structure,SRC-0517 | SRC-0187 | SRC-0232 | SRC-0289 | SRC-0346 | SRC-0460,,MERGED_EVOLVING_SOURCES,Deduplicated historical copies; organized by subject; current product meaning constrained by accepted Product Discovery.,Historical differences retained through source lineage/status; no false consensus asserted.,,Consolidates implementation planning history without making new implementation decisions.,QA_CHECKED
COR-TECH-004,SOURCE_RECONSTRUCTION,15-Technical-and-Architecture/Historical-RBAC-Authentication-and-Authorization.md,"Historical RBAC, Authentication and Authorization",SRC-0509,,SINGLE_SOURCE_NORMALIZATION,Deduplicated historical copies; organized by subject; current product meaning constrained by accepted Product Discovery.,Historical differences retained through source lineage/status; no false consensus asserted.,R003 | R016,Preserves historical RBAC/auth decisions and rejections.,QA_CHECKED
COR-GOV-001,SOURCE_RECONSTRUCTION,16-Governance-Privacy-and-Compliance/Governance-Authority-and-Change-Control.md,"Governance, Authority and Change Control",SRC-0481 | SRC-0491 | SRC-0521 | SRC-0522 | SRC-0011 | SRC-0113 | SRC-0114 | SRC-0115 | SRC-0253 | SRC-0294,,MERGED_EVOLVING_SOURCES,Deduplicated historical copies; organized by subject; current product meaning constrained by accepted Product Discovery.,Historical differences retained through source lineage/status; no false consensus asserted.,R004,Consolidates how historical authority/freeze/change-control worked and overlays the accepted Product Discovery authority hierarchy.,QA_CHECKED
COR-DEC-001,SOURCE_RECONSTRUCTION,17-Decisions-and-Open-Questions/Decision-and-Evolution.md,Decision and Evolution,SRC-0486 | SRC-0525 | SRC-0539 | SRC-0551,,MERGED_EVOLVING_SOURCES,Deduplicated historical copies; organized by subject; current product meaning constrained by accepted Product Discovery.,Historical differences retained through source lineage/status; no false consensus asserted.,R017,Navigation dossier for current Product Discovery resolutions plus historical business/technical decisions.,QA_CHECKED
COR-DEC-002,SOURCE_RECONSTRUCTION,17-Decisions-and-Open-Questions/Open-Questions-and-Unresolved-Matters.md,Open Questions and Unresolved Matters,SRC-0487 | SRC-0545,,MERGED_EVOLVING_SOURCES,Deduplicated historical copies; organized by subject; current product meaning constrained by accepted Product Discovery.,Historical differences retained through source lineage/status; no false consensus asserted.,R008 | R009,Consolidated unresolved-area navigation; current product unknowns remain unresolved unless the accepted baseline says otherwise.,QA_CHECKED
COR-HIST-001,SOURCE_RECONSTRUCTION,18-Historical-and-Exploratory/Audits-Remediation-and-Baseline-Evolution.md,"Audits, Remediation and Baseline Evolution",SRC-0482 | SRC-0084 | SRC-0085 | SRC-0087 | SRC-0088 | SRC-0090 | SRC-0103 | SRC-0104 | SRC-0105 | SRC-0106 | SRC-0107 | SRC-0108 | SRC-0110 | SRC-0112 | SRC-0116 | SRC-0121 | SRC-0122 | SRC-0123 | SRC-0125 | SRC-0126 | SRC-0118 | SRC-0146 | SRC-0147 | SRC-0148 | SRC-0149 | SRC-0151 | SRC-0538 | SRC-0540 | SRC-0543 | SRC-0544 | SRC-0548 | SRC-0550 | SRC-0552 | SRC-0553,,MERGED_EVOLVING_SOURCES,Deduplicated historical copies; organized by subject; current product meaning constrained by accepted Product Discovery.,Historical differences retained through source lineage/status; no false consensus asserted.,,Preserves the major audit/remediation chain so evolution can be understood without browsing every package copy.,QA_CHECKED
COR-HIST-002,SOURCE_RECONSTRUCTION,18-Historical-and-Exploratory/Rejected-Deferred-and-Exploratory-Proposals.md,"Rejected, Deferred and Exploratory Proposals",SRC-0483,,SINGLE_SOURCE_NORMALIZATION,Deduplicated historical copies; organized by subject; current product meaning constrained by accepted Product Discovery.,Historical differences retained through source lineage/status; no false consensus asserted.,R004 | R010 | R015 | R016,Preserves rejected/deferred/exploratory history without converting old sequencing labels into current scope exclusions.,QA_CHECKED
COR-HIST-003,SOURCE_RECONSTRUCTION,18-Historical-and-Exploratory/Handoff-Manifests-and-Archive-Structure-History.md,"Handoff, Manifest and Archive Structure History",SRC-0004 | SRC-0530 | SRC-0536 | SRC-0012 | SRC-0013 | SRC-0014 | SRC-0021 | SRC-0050 | SRC-0051 | SRC-0081 | SRC-0086 | SRC-0089 | SRC-0091 | SRC-0098 | SRC-0130 | SRC-0132 | SRC-0145 | SRC-0150 | SRC-0195 | SRC-0245 | SRC-0251 | SRC-0302 | SRC-0308 | SRC-0359 | SRC-0416 | SRC-0422 | SRC-0473 | SRC-0541 | SRC-0547 | SRC-0549 | SRC-0554,,MERGED_EVOLVING_SOURCES,Deduplicated historical copies; organized by subject; current product meaning constrained by accepted Product Discovery.,Historical differences retained through source lineage/status; no false consensus asserted.,,"Accounts for package scaffolding, manifests and archive-history material that is useful for provenance but not active subject authority.",QA_CHECKED
