concept_id,concept_name,concept_type,canonical_definition,product_role,user_relevance,current_mvp_scope_status,definition_maturity,confidence,evidence_basis,claim_ids,decision_ids,resolution_ids,source_paths,assumptions,open_questions,notes
CON011,Admission Requirement,PRODUCT_INFORMATION; BUSINESS_RULE_CANDIDATE,A published condition for admission. It is not itself a candidate-specific eligibility result.,Lets users understand what is required.,Prospective students/advisers.,MVP — defined,well defined,HIGH,Explicit workflow distinction.,C017 C036 C037,D004 D014,R015,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md | Catchments-ELDS-Additions-03-09-2026.md,,Structured rule representation for safe automation remains later work.,Requirement ≠ eligibility evaluation.
CON012,Eligibility,CONTEXTUAL_PRODUCT_BUSINESS_TERM,The outcome/assessment of facts against rules in a particular context. Admission eligibility and funding eligibility are not assumed to be one universal rule system.,Decision support/self-assessment.,Prospective students; funding seekers.,MVP — defined for self-assessment; automation deferred,partially defined,HIGH,Admissions and funding evidence use the word with different decision authority/rules.,C017 C036 C040,D004 D014,R015,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md | Catchments-ELDS-Additions-03-09-2026.md | Scholarships - Product Discovery Additions 03-09-2026.md,,Exact automated evaluation semantics remain deferred.,Avoid a generic global Eligibility abstraction at Product Discovery level.
CON013,Self-Assessment,PRODUCT_CAPABILITY_CONCEPT,User-supported comparison of their facts against published requirements without implying opaque automated decision-making.,Supports decision-making before application/handoff.,Prospective students.,MVP — defined,partially defined,HIGH,Approved assess-eligibility workflow.,C014 C017,D004,R015,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md,,Exact UX/input persistence is not fully defined.,Can be anonymous for core use.
CON014,Admission Cycle,PRODUCT_CONCEPT_CANDIDATE,"A time-bounded admission period/context in which requirements, cutoffs and policies may differ.",Provides temporal context for admissions.,Prospective students and advisers.,MVP — boundary requires refinement,partially defined,MEDIUM-HIGH,Temporal admissions facts repeatedly recognized.,C068,,,Scholarships - Product Discovery Additions 03-09-2026.md,,Exact cycle/phase vocabulary needs UL.,Do not collapse current and historical admissions facts.
CON015,Cut-off Mark,PRODUCT_INFORMATION; BUSINESS_RULE_CANDIDATE,A published threshold applicable in an admission context and time period; it may vary by institution/offering/cycle.,Admission decision support.,Prospective students/advisers.,MVP — defined,partially defined,HIGH,ProgrammeInstance remediation and temporal evidence.,C022 C068,D008,R015,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/V4.2-REMEDIATION-REPORT.md | Scholarships - Product Discovery Additions 03-09-2026.md,,Authority/source precedence and exact applicability need rules.,Not a timeless programme attribute.
CON016,Catchment,PRODUCT_CONCEPT; BUSINESS_RULE,A geographic admission-policy consideration defined by an authoritative admission policy; it is not physical proximity and not a permanent institution attribute.,Explains geography-sensitive admissions.,Prospective Nigerian applicants/advisers.,MVP — defined,well defined,HIGH,Sep03 approved discovery.,C036 C037 C038,D014,R015,Catchments-ELDS-Additions-03-09-2026.md,,Country-specific analogues must be researched rather than assumed.,Policy-context concept.
CON017,ELDS,JURISDICTION_SPECIFIC_PRODUCT_CONCEPT,Educationally Less Developed States: a Nigeria-specific admission classification used where authoritative policy applies.,Explains a jurisdiction-specific admissions factor.,Nigerian prospective applicants/advisers.,MVP — defined,well defined for Nigeria,HIGH,Sep03 approved discovery.,C036 C037 C038,D014,R015,Catchments-ELDS-Additions-03-09-2026.md,,Do not universalize globally.,Nigeria-specific terminology over underlying policy semantics.
CON018,Post-UTME,JURISDICTION_SPECIFIC_PRODUCT_CONCEPT,Nigeria-specific institution admission screening/assessment following or alongside national admission processes; not merely “news” and not automatically a universal examination concept.,Admission/current-information support.,Nigerian prospective applicants.,MVP — defined,partially defined,HIGH,News/Post-UTME discovery refinement.,C047 C076,D017,R015,News Post-UTME - Product Discovery Additions V2 03-09-2026.md,,Institution-specific variation needs source evidence.,"Can generate news, but underlying admission fact remains canonical elsewhere."
CON019,Funding Opportunity,PRODUCT_CONCEPT; DOMAIN_CONCEPT_CANDIDATE,"An educational funding opportunity such as scholarship, grant, bursary or aid, with benefits, criteria, dates, restrictions, provider and authoritative handoff.",Funding discovery/decision support.,Students/parents.,MVP — defined,partially defined,HIGH,Sep03 funding addition broadened scholarship-only framing.,C039 C040 C041,D015,R004,Scholarships - Product Discovery Additions 03-09-2026.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/governance/DISCOVERY-CLOSURE.md,,Minimum public discovery/matching UX can be refined.,StudyNexus does not operate provider selection/award/disbursement.
CON020,Scholarship,PRODUCT_CONCEPT,A type of Funding Opportunity where the evidence/provider uses scholarship terminology.,Specific funding category.,Students/parents.,MVP — defined,well defined as subtype/category,HIGH,Early and later funding discovery.,C039 C041,D015,R004,Scholarships - Product Discovery Additions 03-09-2026.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/governance/DISCOVERY-CLOSURE.md,,,Do not make “Scholarship” the only funding concept.
CON021,Accreditation,PRODUCT_CONCEPT; DOMAIN_CONCEPT_CANDIDATE,"A time-bounded decision or status granted by a competent authority about the quality/compliance of an institution, offering, programme, campus or other scoped educational object, according to the authority's jurisdiction and scheme.",Lets StudyNexus explain externally granted quality/compliance status without turning that status into an intrinsic property of the institution or offering.,"Users assessing trust, validity and comparability of opportunities.",MVP — boundary requires refinement,partially defined,HIGH,Corpus repeatedly requires accreditation/quality information; remediation rejects a universal Recognition noun.,C064 C079 C080,D023,R003,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md | STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/16-domain-discovery-topic3.md,No universal cross-country accreditation model is assumed.,Exact scope/effective-date/status vocabularies differ by authority and jurisdiction.,Keep distinct from qualification recognition and generic institution approval.
CON022,Qualification Recognition,PRODUCT_CONCEPT; DOMAIN_CONCEPT_CANDIDATE,"An external authority's judgment about whether a qualification, award or credential is recognized or accepted for a stated purpose or jurisdiction.",Supports trustworthy explanation of qualification standing where relevant.,Learners comparing qualifications and pathways.,MVP — boundary requires refinement,underspecified,MEDIUM,Recognition terminology archaeology shows qualification recognition is semantically distinct from programme/institution accreditation.,C064 C080,D023,R003,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md | STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/16-domain-discovery-topic3.md,Qualification recognition is treated as distinct from accreditation unless evidence in a jurisdiction says otherwise.,Which qualification-recognition use cases StudyNexus must support first.,Do not collapse into one universal Recognition object.
CON023,Institution Approval / Recognized Status,PRODUCT_CONCEPT; DOMAIN_CONCEPT_CANDIDATE,"An externally granted status indicating whether an institution is approved, licensed, recognized, listed or otherwise valid under a competent authority's rules.",Supports institution trust and legitimacy information.,Users evaluating whether an institution is legitimate/recognized.,MVP — boundary requires refinement,partially defined,HIGH,Institution trust and regulatory status recur in the corpus; remediation separates this meaning from accreditation.,C064 C079 C080,D023,R003,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md | STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/16-domain-discovery-topic3.md,The exact regulator vocabulary is jurisdiction-specific.,How to model multiple concurrent authorities/statuses is for later terminology/domain work.,Not the same as programme accreditation.
CON024,Education Authority / Regulator,PRODUCT_CONCEPT; DOMAIN_CONCEPT_CANDIDATE,"An external body whose authoritative decisions, registers or rules establish educational status, approval, accreditation, admission policy context or other regulated facts.",Identifies the authoritative external source for regulated education information.,Users indirectly; StudyNexus operators directly.,MVP — boundary requires refinement,partially defined,HIGH,"Regulators are repeatedly present as authoritative sources, but the corpus does not prove one universal Organization abstraction.",C052 C064 C079 C080,D023,R003 R016 R018,Education Services & Access - Product Discovery Additions 03-09-2026.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md | STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/16-domain-discovery-topic3.md,No universal actor superclass is assumed.,Whether regulators share a canonical identity model with exam bodies/providers is unresolved.,"Actor vocabulary input, not a DDD abstraction."
CON025,Examination Authority,PRODUCT_CONCEPT; DOMAIN_CONCEPT_CANDIDATE,An external body responsible for an examination system or product and its authoritative examination information.,Provides authority context for examination information.,Students/recent graduates researching examination pathways.,MVP — boundary requires refinement,partially defined,MEDIUM,September examination discovery and earlier exam-information needs distinguish authority from examination product and administration.,C043 C078,,R010 R016 R018,Proposed Product Discovery Addition 02-09-2026.md,Exact authority/product relationships remain to be formalized.,Which examination authorities/products are in the capability minimum.,Do not infer a universal Organization model.
CON026,Examination Product,PRODUCT_CONCEPT; DOMAIN_CONCEPT_CANDIDATE,"A named examination or assessment offering such as a public or standardized examination, distinct from a particular administration/sitting and from practice activity.",Lets users understand the examination itself independent of a particular schedule.,Students/recent graduates and advisers.,MVP — boundary requires refinement,partially defined,MEDIUM,"September examination proposal explicitly distinguishes product, administration and schedule events.",C043 C044 C078,D019,R010,Proposed Product Discovery Addition 02-09-2026.md,The September detailed model remains proposed rather than fully ratified.,Capability minimum and vocabulary for different exam systems.,Practice/attempt/scoring is separately deferred.
CON027,Examination Administration,PRODUCT_CONCEPT; DOMAIN_CONCEPT_CANDIDATE,"A particular administration, sitting, session or cycle of an examination product in a defined time/context.",Connects examination information to time-specific schedules and changes.,Students planning for an examination.,MVP — boundary requires refinement,underspecified,MEDIUM,Proposed September examination vocabulary provides a useful distinction but remains under refinement.,C043 C078,D019,R010,Proposed Product Discovery Addition 02-09-2026.md,Terminology may differ across examination systems.,What constitutes one administration for each authority/product.,Not an exam-preparation attempt.
CON028,Examination Schedule Event,PRODUCT_CONCEPT; DOMAIN_CONCEPT_CANDIDATE,"A time-sensitive event affecting an examination administration, such as a scheduled sitting, postponement, cancellation or other published change.",Supports current and historical examination schedule information.,Students planning examination participation.,MVP — boundary requires refinement,underspecified,MEDIUM,September discovery proposes schedule events and historical changes; current scope keeps examination information in MVP.,C043 C078,D019,R010,Proposed Product Discovery Addition 02-09-2026.md,Detailed schedule model is not yet canonical.,"Minimum event types, authority rules and history requirements.","Do not confuse with exam registration/execution, which is external."
CON029,News,PRODUCT_CONCEPT; BUSINESS_RESPONSIBILITY,"Time-sensitive editorial information that explains educational developments, announcements or changes without becoming the canonical owner of durable institution/offering/admission facts.",Keeps users current while preserving the distinction between reporting and durable canonical knowledge.,All information-seeking user groups.,MVP — defined,well defined,HIGH,September news discovery explicitly establishes the ownership and temporal distinction.,C045 C046 C076,D016,R004,News Post-UTME - Product Discovery Additions V2 03-09-2026.md,,Editorial taxonomy and publication minimum may still evolve.,A news report may cite or trigger review of a canonical fact but does not silently become that fact.
CON030,Evergreen Guide / Resource,PRODUCT_CONCEPT,"Longer-lived educational information that explains stable or slowly changing topics, processes, decisions and pathways outside time-sensitive News.",Helps users understand education decisions and processes beyond raw listings.,"Students, undergraduates, parents and advisers.",MVP — underspecified,underspecified,MEDIUM,Evergreen/resource direction recurs historically; older delivery phase labels are no longer scope exclusions.,C046 C075,,R011,News Post-UTME - Product Discovery Additions V2 03-09-2026.md | STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/24-final-platform-and-capability-architecture.md,,Capability minimum and boundaries among guide/resource/book/page structures remain unresolved.,"Historical Shelves→Books→Chapters→Pages is product evidence, not an implementation mandate."
CON031,Education Service,PRODUCT_CONCEPT,"An education-related service or task a user may need to understand, locate or access, where StudyNexus primarily provides information, guidance and authoritative handoff rather than executing the external service.",Extends discovery from institutions/programmes to education-access tasks.,Learners and other users needing an education-related service.,MVP — defined,partially defined,HIGH,September Education Services & Access discovery explicitly establishes information/discovery/guidance/handoff semantics.,C048 C049 C077,D018,R004,Education Services & Access - Product Discovery Additions 03-09-2026.md,,Exact service categories and minimum data remain to be refined.,Product boundary remains non-transactional unless later evidence changes it.
CON032,Education Service Point,PRODUCT_CONCEPT; DOMAIN_CONCEPT_CANDIDATE,"A location, provider point, channel or official destination through which an education service can be accessed or completed.",Lets the product route a discovered need toward a real-world authoritative access point.,Users seeking an external education service.,MVP — boundary requires refinement,underspecified,MEDIUM,"Service discovery is task/service-oriented and may need access-point information, but the actor/location model is not yet final.",C048 C049 C051 C052,D018,R016,Education Services & Access - Product Discovery Additions 03-09-2026.md | Catchments-ELDS-Additions-03-09-2026.md,No universal provider/organization model is assumed.,"How online channels, physical locations and providers relate.",Vocabulary candidate only.
CON033,Source,PRODUCT_CONCEPT; BUSINESS_RULE,"An identifiable origin from which StudyNexus receives information or evidence, with provenance and authority characteristics that may differ by fact type and context.","Makes the origin of information explicit for trust, review and correction.",Operators directly; end users through trust/provenance signals.,MVP — defined,partially defined,HIGH,Source separation and provenance are central to the approved information-quality workflow.,C026 C027 C028 C029 C030,,R018,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/06-data-acquisition.md | News Post-UTME - Product Discovery Additions V2 03-09-2026.md,,A universal source-authority hierarchy is still unresolved.,Source is contextual; do not equate source with canonical truth.
CON034,Evidence,PRODUCT_CONCEPT; BUSINESS_RULE,"Recorded material or observations used to support, challenge or explain a candidate or canonical StudyNexus fact.","Supports reviewability, conflict resolution and traceability.",Operators; indirectly users who need trustworthy information.,MVP — defined,partially defined,HIGH,Information-quality and provenance requirements repeatedly depend on evidence distinct from canonical facts.,C026 C027 C029 C030,,R018 R019,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/06-data-acquisition.md | News Post-UTME - Product Discovery Additions V2 03-09-2026.md,,What evidence is exposed publicly versus retained operationally.,"Evidence may come from authoritative sources, community reports or other inputs."
CON035,Candidate Information / Candidate Change,PRODUCT_CONCEPT; BUSINESS_RESPONSIBILITY,Sourced or extracted information that may imply a new fact or change but has not yet been accepted into StudyNexus canonical information.,Creates a safe state between acquisition/reporting and canonical change.,StudyNexus operators and information-quality workflows.,MVP — defined,partially defined,HIGH,Acquisition/reconciliation workflow clearly separates extracted/candidate information from approved canonical data.,C025 C026 C027 C030,,,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/06-data-acquisition.md | News Post-UTME - Product Discovery Additions V2 03-09-2026.md,,Exact internal state vocabulary belongs to later modeling.,AI or scraper output remains candidate information until approved under applicable rules.
CON036,Canonical StudyNexus Information,PRODUCT_CONCEPT; BUSINESS_RULE,"The current StudyNexus representation accepted for product use after applying the relevant evidence, normalization and review rules; it remains a representation of external reality, not ownership of the external authority's underlying fact.",Provides a stable product truth layer for user-facing discovery and explanation.,All users and internal product capabilities.,MVP — defined,well defined,HIGH,Canonical/source/derived separation is one of the strongest recurring product principles.,C026 C027 C032 C034 C058,,,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/06-data-acquisition.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/governance/DISCOVERY-CLOSURE.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/04-architecture.md,,Some fact-specific approval rules remain to be defined.,Canonical does not mean infallible; it means the current accepted StudyNexus representation.
CON037,Derived Representation,PRODUCT_CONCEPT; TECHNICAL_CONSTRAINT,"A representation calculated, normalized, classified or projected from canonical and/or curated StudyNexus information for discovery, search, comparison, publication or presentation.",Allows product-specific discovery views without confusing them with source-faithful facts.,Users of search/discovery/comparison; internal product surfaces.,MVP — defined,partially defined,HIGH,"DiscoveryProgramme, search projections and selective SEO surfaces all depend on derived representations remaining distinct from canonical source-faithful facts.",C023 C024 C031 C032 C034 C035 C082 C083,,R001 R002 R017,STUDYNEXUS_PROGRAMME_DISCOVERY_CLASSIFICATION-18th-Sept-2026.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/governance/DISCOVERY-CLOSURE.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/04-architecture.md,,Different derived representations may need different vocabulary in UL.,"Typesense is one implementation mechanism, not the definition of this concept."
CON038,Provenance,PRODUCT_CONCEPT; BUSINESS_RULE,"Traceable information about where a StudyNexus fact, candidate, interpretation or publication came from and how it reached its current state.","Supports trust, correction, auditability and explanation.",Operators and users where provenance is surfaced.,MVP — defined,well defined,HIGH,Provenance is repeatedly established as a core MVP information-quality capability.,C026 C027 C029 C030,,R019,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/06-data-acquisition.md | News Post-UTME - Product Discovery Additions V2 03-09-2026.md,,Public-facing provenance depth/trust-signal UX remains open.,Not equivalent to generic audit logging.
CON039,Freshness,PRODUCT_CONCEPT; BUSINESS_RULE,"The degree to which information has been observed, verified or updated recently enough for its subject matter and decision context.",Helps users and operators judge whether information may still be dependable.,All users of time-sensitive or changing information.,MVP — boundary requires refinement,underspecified,MEDIUM,"Trust reconstruction identifies freshness/staleness as material, especially for admissions, news, funding, examinations and source reconciliation.",C007 C026 C029 C045 C068,,R018 R019,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/06-data-acquisition.md | News Post-UTME - Product Discovery Additions V2 03-09-2026.md | Scholarships - Product Discovery Additions 03-09-2026.md,,No universal freshness threshold is established; it likely varies by information type.,Do not encode a single global stale/not-stale rule at product-discovery stage.
