resolution_id,issue_question,relevant_evidence,historical_conclusion,current_assessment,current_scope_implication,decision_status,disposition,confidence,resolution_classification,claim_ids,decision_ids,source_paths,remaining_assumption,affected_product_concept_capability
R011,Are evergreen guides/resources current?,Repeated content/resource direction; News distinction; current scope rule.,Evergreen content appeared in platform/content work with inconsistent historical sequencing.,Evergreen guides/resources remain MVP/current scope but are underspecified. News is distinct because of time sensitivity.,MVP — underspecified.,CURRENT SCOPE,"Keep in MVP; refine taxonomy, outcomes, licensing and source model.",MEDIUM,NON-BLOCKING OPEN QUESTION,C046 C075,D021,News Post-UTME - Product Discovery Additions V2 03-09-2026.md | STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/24-final-platform-and-capability-architecture.md | Current remediation protocol (user instruction),"Minimum content families, licensing and evidence/attribution policy remain open.",Evergreen guides/resources/content
R012,"Are public accounts, personalization and notifications in current MVP?",Historical no-account-required decision; Stage-2 labels; current MVP-default rule.,Historical baseline said anonymous core does not require accounts and placed personalization/notifications later. Prior remediation incorrectly converted that sequencing/dependency into current exclusion/deferral.,"Yes, they remain in current MVP consideration under the present scope rule because no current explicit exclusion removes them. However, anonymous core discovery must remain usable without an account; persistent identity, personalization and notification minimums are underspecified and need only be introduced where persistent user value requires them.",MVP — public identity boundary requires refinement; personalization/notifications MVP — underspecified.,CURRENT SCOPE NORMALIZATION,Do not put them in first vertical slice by implication; do not require account for anonymous core.,HIGH,RESOLVED,C016,D003 D021,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md | Current remediation protocol (user instruction) | Pasted markdown(20260921-105149).md [current owner instruction; outside historical corpus],"Precise persistent jobs, saved-state model, notification triggers/channels and consent/preferences remain open.",Public accounts; Persistent identity; Personalization; Notifications
R013,Are institution/provider self-service and public APIs current MVP?,Explicit historical strategic-MVP exclusions; current protocol preserves evidence-backed exclusions.,Baseline explicitly excluded institution/provider self-service and public API/developer platform from strategic MVP.,Remain excluded from current MVP. StudyNexus may consume provider/authority evidence without offering provider self-service.,EXCLUDED.,ADOPTED EXCLUSION,Preserve as negative knowledge; future owner decision may revisit.,HIGH,RESOLVED,C012,D021,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md | Current remediation protocol (user instruction),None for current baseline.,Institution/provider participation; Public API
R014,How should internationalization be treated?,Nigeria-first decision; later anti-hardcoding/jurisdiction semantics.,Multi-country launch was excluded from strategic MVP while later discovery showed jurisdiction-specific terms/rules must not be hard-coded as Nigerian universals.,"Nigeria-first public rollout remains current. Multi-country public launch is excluded from current MVP delivery, while international semantic variability is a current MVP product principle/stress test.",MVP principle; multi-country rollout EXCLUDED.,CURRENT ADOPTED,Keep semantics flexible without pretending launch is international.,HIGH,RESOLVED,C038 C051 C057 C084,D005 D021,Catchments-ELDS-Additions-03-09-2026.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md | Current remediation protocol (user instruction),Country-specific product research occurs when expansion is actually considered.,Internationalization; Geography
R015,What is the current eligibility boundary?,Approved workflow; staged self-assessment→automation; catchment/admissions/funding distinctions.,Product should first explain authoritative requirements and support self-assessment; automated deterministic evaluation was a later/deferred capability.,"Requirements and self-assessment are MVP. Automated deterministic eligibility evaluation remains currently deferred until reliable structured rules and candidate data exist. Admission and funding eligibility are contextual, not one global rules concept.",MVP self-assessment; automated evaluation CURRENTLY DEFERRED.,ADOPTED CURRENT DEFERRAL,Preserve distinction in product model.,HIGH,RESOLVED,C017 C036 C037 C040,D004 D014 D021,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md | Catchments-ELDS-Additions-03-09-2026.md | Scholarships - Product Discovery Additions 03-09-2026.md | Current remediation protocol (user instruction),Exact threshold for safe automation remains future evidence question.,Requirements; Eligibility; Self-assessment; Automated evaluation
R016,"Should institutions, regulators, exam bodies, scholarship providers and service providers be one Organization concept?",Actor inventory and domain discovery; no common lifecycle/rules established.,Architecture occasionally proposed shared organization/party abstractions.,Do not canonize a universal Organization product concept. Use concrete actor roles and leave shared identity modeling to later evidence/DDD if a real cross-role business responsibility emerges.,No scope effect; vocabulary guardrail.,CURRENT NORMALIZATION,Keep actor roles distinct at Product Discovery level.,HIGH,RESOLVED,C052,D021,Education Services & Access - Product Discovery Additions 03-09-2026.md | Current remediation protocol (user instruction),Could reopen if cross-role identity/relationship workflows become real product requirements.,Organization / actor roles
R017,"How should search, discovery, SEO publication and search infrastructure relate?",Known-target vs exploration; selective indexation; Typesense/PostgreSQL serving history.,"Historical architecture sometimes mixed search engine, search behavior, discovery semantics and SEO/publication.",Keep distinct: Search = intentional retrieval; Discovery = exploration/curation; Publication/indexability = decision about public/indexed surfaces; Search infrastructure = serving mechanism. Selective indexation remains product principle.,Search/discovery/publication are MVP; infrastructure is architecture.,CURRENT NORMALIZATION,Use separate product definitions and prohibit infrastructure leakage.,HIGH,RESOLVED,C031 C032 C033 C034 C035 C065,D010 D011 D021,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/governance/DISCOVERY-CLOSURE.md | studynexus-v4.7-remediation-package/studynexus-v4.7/README.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/04-architecture.md | STUDYNEXUS_PROGRAMME_DISCOVERY_CLASSIFICATION-18th-Sept-2026.md | Current remediation protocol (user instruction),Exact SEO landing-page publication criteria remain non-blocking.,Search; Discovery; Publication/Indexability; SEO
R018,What are category-specific source-authority hierarchies?,"Information-quality rules, source provenance, official/verified/historical/community categories.",Corpus establishes that authority/provenance matters but does not fully define precedence for every information category.,Keep source authority/freshness/conflict as canonical product concerns. Define category-specific precedence during UL/business-rule work rather than inventing a single global hierarchy now.,MVP trust concern; definition refinement required.,OPEN BUSINESS RULE,Visible open question; not a scope exclusion.,HIGH,NON-BLOCKING OPEN QUESTION,C007 C025 C026 C027 C029 C030 C069,D012 D013,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/06-data-acquisition.md | News Post-UTME - Product Discovery Additions V2 03-09-2026.md,"Authority precedence must be researched per admissions, accreditation, exams, funding, institution data, etc.",Source authority; Provenance; Information quality
R019,Which user-facing trust signals are canonical?,"Trust problem, information categories, provenance/freshness/conflict evidence.",Corpus establishes user need to judge reliability but does not validate a final UI signal system.,"Canonicalize the information users may need—source/authority, freshness, verification state, historical/conflict context where material—not a specific badge/color/UI implementation.",MVP trust capability; UI treatment underspecified.,CURRENT PRODUCT PRINCIPLE / UX OPEN,Carry information requirements forward; validate presentation later.,HIGH,NON-BLOCKING OPEN QUESTION,C007 C025 C026 C054 C055 C069,D001,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/product-experience/PRODUCT-EXPERIENCE-ARCHITECTURE.md,Usability research should determine which signals users understand and need.,Trust signals; Provenance UX
R020,Is Product Discovery ready to begin Ubiquitous Language?,"Remediated reconstruction, current scope normalization, resolution pass and canonicalization quality gate.","Prior remediation judged ready with explicit programme/offering assumption, but the productionization pass still had to repair the empty resolution artifact and scope leakage.","After this canonicalization package, Product Discovery is READY WITH EXPLICIT ASSUMPTIONS for Ubiquitous Language. No true blocker remains; programme/offering distinction remains explicit and reversible; several MVP capabilities remain underspecified but bounded and traceable.",Ready for UL; no change to MVP membership.,CURRENT READINESS DECISION,Proceed to UL only after using this canonical package as baseline; do not jump to DDD/module design.,MEDIUM-HIGH,RESOLVED,C001 C013 C023 C024 C026 C031 C067 C071 C072 C073 C074 C075 C076 C077 C078 C081 C082 C085,D021 D022 D023,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md | STUDYNEXUS_PROGRAMME_DISCOVERY_CLASSIFICATION-18th-Sept-2026.md | Education Services & Access - Product Discovery Additions 03-09-2026.md | STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md | STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md | STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/24-final-platform-and-capability-architecture.md | News Post-UTME - Product Discovery Additions V2 03-09-2026.md | Proposed Product Discovery Addition 02-09-2026.md | Ranking - Product Discovery Additions 03-09-2026.md | Current remediation protocol (user instruction) | STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/16-domain-discovery-topic3.md | Pasted markdown(20260921-105149).md [current owner instruction; outside historical corpus],The Institution Offering / Discovery Programme distinction remains the key explicit assumption; rankings remain capability-membership unknown.,Product Discovery readiness
