id,claim,source_file,section,date_or_version,statement_type,declared_authority,historical_status,evidentiary_relevance,contradicting_evidence,current_assessment,current_validity,confidence
C011,"Stage 1/MVP is a Trusted Education Knowledge Base solving the five problem dimensions; evolution stages are strategic, not fixed roadmap.",StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md,A4-1/A4-2,2026-08-07/08,DECISION,Stakeholder definition,FROZEN,Explicit and repeated,Later first vertical slice narrows implementation scope,Retain strategic stage model; distinguish Stage-1 business MVP from implementation slice.,MVP,HIGH
C012,"MVP excludes institution/provider self-service, public API/developer platform, multi-country support and marketplace/transactional features.",StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md,A4-3,2026-08-07/08,DECISION,Stakeholder definition,FROZEN,Explicit,Later Education Services remains informational/handoff rather than transaction platform,Retain negative scope.,MVP,HIGH
C013,"Core MVP capabilities: acquire, organize, verify, maintain, discover, search, compare and present educational knowledge; provenance and information quality support them.",StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md,A5-1,2026-08-07/08,DECISION,Stakeholder definition,FROZEN,"Explicit, repeated",Later first slice implements subset,"Retain as business capability baseline, not proof every capability ships in first vertical slice.",MVP,HIGH
C014,"Core workflows WF1-WF6: Explore, Evaluate, Compare, Assess Eligibility, Assess Information Reliability, Make Educational Decision; application after decision is out of scope.",StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md,A6-1/A6-9,2026-08-07/08,DECISION,Stakeholder refinement,FROZEN,Explicit workflow discovery,Product Experience emphasizes programme discovery first,Retain as business workflow model; not necessarily UI sequence.,CURRENT,HIGH
C015,"Undergraduate-specific WF7 covers current institution/programme/year, academic calendar, requirements/status, courses, assessments, fees, deadlines, policies, scholarships and progression/transfer.",StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md,OQ7-1/OQ7-2,2026-08-08,DECISION,Owner decision,RESOLVED,Explicit,Later MVP/vertical-slice docs largely stop discussing this journey,Unresolved disappearance: still-valid need unless scope explicitly changed; should not be silently dropped.,UNKNOWN,MEDIUM
C016,Core MVP does not require public user accounts; persistent identity should wait for persistent/personal capabilities.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md,OQ4-1,2026-08-08,DECISION,Owner decision,RESOLVED,Repeated in later product experience scope,Later future personalization/notifications assume accounts eventually,Retain as MVP non-goal.,MVP,HIGH
C017,Eligibility starts as authoritative requirements for self-assessment and may progress to structured evaluation when rules are reliable/machine-actionable.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md,OQ6-3,2026-08-08,DECISION,Owner decision,RESOLVED,Explicit,Later admissions rules remain complex/deferred automation,Retain progressive strategy; do not treat automated eligibility as MVP.,DEFERRED,HIGH
C018,Early business usage of Programme meant a specific course of study offered by an institution.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/01-business.md,Glossary,2026-08-08,DISCOVERY,Canonical business doc,CURRENT AT V4.6,High historical language evidence,Later domain architecture used Programme as more abstract template,Preserve as terminology history; word became overloaded.,SUPERSEDED,HIGH
C019,Domain discovery promoted Programme to a first-class aggregate concept.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/11-domain-discovery-topic2.md,Programme discovery,2026-08-07,PROPOSAL,Historical domain discovery,HISTORICAL,Strong evidence of modelling evolution,Later ProgrammeInstance and InstitutionOffering distinctions challenge meaning,"Historical modelling step, not immutable product truth.",SUPERSEDED,HIGH
C020,Programme Offering/Programme Instance and Campus were initially considered missing but rejected/deferred as premature complexity.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/18-domain-resolution-analysis.md,Programme Offering / Campus,2026-08-07,REJECTED DECISION,Historical domain resolution,REJECTED,Explicit rejection and rationale,Later audit made both blockers,Rejection was historically mistaken given later concrete variation requirements.,REJECTED,HIGH
C021,ProgrammeInstance and Campus were later added because abstract Programme conflated concrete campus/delivery/year offerings.,StudyNexus-Independent-Audit-Package-v4/03-IMPLEMENTATION/STUDYNEXUS-CANONICAL-REMEDIATION-REPORT.md,FIX 3,2026-08-18,DECISION,Remediation authority,ADOPTED,Explicit blocker resolution,Contradicts earlier rejection,Retain the discovered need for concrete offering context; exact present model remains under review.,CURRENT,HIGH
C022,AdmissionPolicy and CutOffMark were moved to ProgrammeInstance because different instances can vary.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/V4.2-REMEDIATION-REPORT.md,BLOCKER 1,2026-08-19,DECISION,Lead Architect remediation,ADOPTED,Concrete modeling rationale,Sep18 InstitutionOffering terminology not reconciled,Underlying discovery—admission facts can vary by offering context—is strong.,CURRENT,HIGH
C023,Sep18 proposes source-faithful InstitutionOffering distinct from curated DiscoveryProgramme; classification optional.,STUDYNEXUS_PROGRAMME_DISCOVERY_CLASSIFICATION-18th-Sept-2026.md,Executive Decision,2026-09-18,PROPOSAL,Proposed architecture/product-discovery decision,PROPOSED,Strong problem rationale; newest unique discovery,No approval/ratification; old Programme/ProgrammeInstance not reconciled,"Treat distinction as strong candidate discovery, not settled canonical model.",EXPLORATORY,MEDIUM-HIGH
C024,Sep18 rejects requirement for a giant global programme master and mandatory classification of every offering.,STUDYNEXUS_PROGRAMME_DISCOVERY_CLASSIFICATION-18th-Sept-2026.md,Executive Decision,2026-09-18,PROPOSAL,Proposed architecture/product-discovery decision,PROPOSED,Scale/operational rationale,"Earlier discipline taxonomy assumed one controlled discipline per Programme, but not a global programme master",Strong hypothesis; requires explicit decision and reconciliation with current Programme model.,EXPLORATORY,MEDIUM
C025,User reports of incorrect/outdated/missing/conflicting information enter information-quality workflow and never directly mutate canonical data.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md,OQ4-2,2026-08-08,DECISION,Owner decision,RESOLVED,Early business evidence,No material contradiction,Retain as trust product principle.,CURRENT,HIGH
C026,"Provenance and information quality are MVP business capabilities, not merely implementation concerns.",StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md,A5-1,2026-08-07/08,DECISION,Stakeholder definition,FROZEN,Strong repeated evidence,Implementation timing/details evolved,Retain business responsibility; separate from architecture implementation.,MVP,HIGH
C027,"External acquisition should use immutable raw captures, extraction/normalization/reconciliation, human review and approved import artifacts separated from canonical production.",StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/06-data-acquisition.md,Trust boundary / pipeline,2026-08-19 amended,TECHNICAL CONSTRAINT,Canonical design,CURRENT AT V4.6,Detailed hard requirement,"V4.7 README later changes HMAC/atomicity details, not core evidence/canonical separation",Retain pipeline principle; tactical ingestion contracts require later technical reconciliation.,CURRENT,HIGH
C028,External acquisition environment must not hold production PostgreSQL/Redis/Typesense credentials.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/06-data-acquisition.md,Trust boundary,2026-08-19 amended,TECHNICAL CONSTRAINT,Canonical design,CURRENT AT V4.6,Explicit hard boundary,V4.7 tightens trust model rather than reversing separation,Retain as current security/operational constraint.,CURRENT,HIGH
C029,MISSING does not mean DELETE; absence in a source requires review and must not silently delete/unpublish canonical facts.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/06-data-acquisition.md,MISSING ≠ DELETE,2026-08-19 amended,REQUIREMENT,Canonical design,HARD REQUIREMENT,Repeated in Sep18,No contradiction,Retain as core information-quality principle.,CURRENT,HIGH
C030,Automated/AI extraction may assist but is not authoritative and must not silently become canonical truth.,News Post-UTME - Product Discovery Additions V2 03-09-2026.md,AI Assistance / Acquisition,2026-09-03,REQUIREMENT,Approved Product Discovery Addition,APPROVED,Approved later evidence; also proposed timetable,No contradiction,Retain as trust principle where AI is used.,CURRENT,HIGH
C031,Search and structured discovery are distinct user/product capabilities.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md,A3-3/A5-1,2026-08-07/08,DISCOVERY,Stakeholder definition,FROZEN,Explicit business distinction,Later architecture sometimes blends them in search implementation,Retain distinction: search locates; discovery helps users explore without known target.,CURRENT,HIGH
C032,Typesense serves V1 public discovery while PostgreSQL is canonical detail/source data in V4.6.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/governance/DISCOVERY-CLOSURE.md,Detail Page Data Source,2026-08-10 amended through V4.6,TECHNICAL CONSTRAINT,Governance/canonical alignment,CURRENT AT V4.6,Explicit,V4.7 README eliminates public PostgreSQL fallback but does not challenge Typesense serving role,"Technical constraint, not product outcome.",CURRENT,HIGH
C033,V4.6 allowed PostgreSQL FTS fallback for degraded/admin search; V4.7 later mandated no PostgreSQL public-search fallback.,studynexus-v4.7-remediation-package/studynexus-v4.7/README.md,Top Critical Issue 1,2026-08-26,SUPERSEDED DECISION,V4.7 remediation summary,V4.7 FROZEN CONTRACT SUMMARY,Explicit reversal summary,V4.7 detailed deliverables are absent from supplied TAR,Treat no-public-fallback as later technical decision with weaker internal traceability because underlying ledger is missing.,CURRENT,MEDIUM-HIGH
C034,Search projections must be rebuildable from PostgreSQL canonical data.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/04-architecture.md,Search architecture,V4.6,TECHNICAL CONSTRAINT,Canonical architecture,CURRENT AT V4.6,Repeated architecture principle,No product-level contradiction,Retain as technical integrity constraint.,CURRENT,HIGH
C035,SEO should use selective indexation/canonical pages rather than indexing every possible filter combination.,STUDYNEXUS_PROGRAMME_DISCOVERY_CLASSIFICATION-18th-Sept-2026.md,SEO landing pages,2026-09-18,PROPOSAL,Proposed product-discovery decision,PROPOSED,Consistent with earlier controlled indexation architecture,Latest proposal not approved but principle predates it,"Retain as strong current publication principle, but exact landing-page policy remains to ratify.",CURRENT,MEDIUM-HIGH
C036,"Catchment/ELDS are admission-policy concepts, not permanent institution attributes.",Catchments-ELDS-Additions-03-09-2026.md,Catchment definition,2026-09-03,DISCOVERY,Approved Product Discovery Addition,APPROVED,Direct approved discovery,No contradiction,Canonical discovery.,CURRENT,HIGH
C037,Catchment can vary by institution/campus/programme/admission context and must preserve authoritative policy basis.,Catchments-ELDS-Additions-03-09-2026.md,Catchment Scope,2026-09-03,REQUIREMENT,Approved Product Discovery Addition,APPROVED,Detailed approved requirement,No contradiction,Canonical discovery; implementation scope timing not stated.,CURRENT,HIGH
C038,Nigeria-first must not mean Nigeria-hardcoded; Nigerian concepts should be represented by underlying semantics plus jurisdiction-specific terminology/classification.,Catchments-ELDS-Additions-03-09-2026.md,International Extensibility Principle,2026-09-03,PRODUCT PRINCIPLE,Approved Product Discovery Addition,APPROVED,Strong later decision,Earlier MVP explicitly excludes multi-country but anticipated future expansion,"Compatible: current scope Nigeria-only, semantics should avoid unnecessary hardcoding.",CURRENT,HIGH
C039,"Funding discovery should cover broader FundingOpportunity, not only scholarship, and inform/explain/match/handoff rather than operate provider application/selection/disbursement.",Scholarships - Product Discovery Additions 03-09-2026.md,Purpose / Scope Boundary,2026-09-03,DISCOVERY,Approved Product Discovery Addition,APPROVED,Detailed approved discovery,Earlier scholarship aggregate narrower,Retain broadened product concept; public search still Phase 2 per prior closure unless roadmap updated.,CURRENT,HIGH
C040,Funding eligibility is distinct from provider selection.,Scholarships - Product Discovery Additions 03-09-2026.md,Eligibility / Selection,2026-09-03,DISCOVERY,Approved Product Discovery Addition,APPROVED,Explicit conceptual distinction,No contradiction,Canonical discovery.,CURRENT,HIGH
C041,"Public scholarship landing/detail/search pages were deferred to Phase 2 in first vertical slice, with entity/admin and inline related scholarship data in slice.",StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/governance/DISCOVERY-CLOSURE.md,Scholarship MVP,2026-08-10/19,DECISION,Discovery closure,APPROVED IN BASELINE,Explicit implementation-scope decision,Sep03 approves richer scholarship discovery but does not explicitly alter MVP roadmap,Keep Phase-2 placement unless a later roadmap decision explicitly changes it.,DEFERRED,HIGH
C042,Original first vertical slice deferred examination/resource discovery to Phase 2+.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/governance/DISCOVERY-CLOSURE.md,Phase scope / product experience,2026-08-10/19,DECISION,Discovery closure,APPROVED IN BASELINE,Repeated in closure/product experience,Sep02 timetable document calls its own small surface MVP but is only proposed,Retain overall StudyNexus MVP deferral absent explicit scope-change decision.,DEFERRED,HIGH
C043,"Sep02 proposes exam information model: authority → product → administration → schedule events, with cancellations/postponements/history/source conflicts and informational handoff boundary.",Proposed Product Discovery Addition 02-09-2026.md,Core Conceptual Model / Product Boundary,2026-09-02,PROPOSAL,Proposed Product Discovery Addition,PROPOSED,Detailed new discovery,Not approved; overall exams previously Phase2+,Strong future/exploratory discovery; not current MVP commitment.,EXPLORATORY,MEDIUM-HIGH
C044,"Exam practice, attempts, scoring and learner progress are different future concerns from timetable/reference information.",Proposed Product Discovery Addition 02-09-2026.md,Non-goals / related future,2026-09-02,PROPOSAL,Proposed Product Discovery Addition,PROPOSED,Conceptual clarity,Earlier domain bundled exams/resources broadly,"Retain as future separation signal, not architecture decision.",FUTURE,MEDIUM
C045,News reports/explains/contextualizes changes but does not become canonical owner of the underlying fact.,News Post-UTME - Product Discovery Additions V2 03-09-2026.md,Core News Principle / News and Canonical Facts,2026-09-03,PRODUCT PRINCIPLE,Approved Product Discovery Addition,APPROVED,Strong explicit requirement,No contradiction,Canonical content/trust principle.,CURRENT,HIGH
C046,Time-sensitive News and evergreen educational content have distinct user purposes/lifecycles.,News Post-UTME - Product Discovery Additions V2 03-09-2026.md,News vs Evergreen Educational Content,2026-09-03,DISCOVERY,Approved Product Discovery Addition,APPROVED,Detailed approved distinction,Earlier generic Content models did not distinguish deeply,Retain conceptual distinction; whether separate implementation responsibility is future architecture question.,CURRENT,HIGH
C047,"Post-UTME should be understood as Nigeria-specific institutional admission screening/assessment, not merely news or universally an examination.",News Post-UTME - Product Discovery Additions V2 03-09-2026.md,Post-UTME,2026-09-03,DISCOVERY,Approved Product Discovery Addition,APPROVED,Strong approved semantic correction,Earlier content may treat Post-UTME as news topic,Canonical domain discovery.,CURRENT,HIGH
C048,"Education Services & Access helps users find where/how to complete education-related tasks, with information, discovery, guidance and authoritative handoff rather than operating external services.",Education Services & Access - Product Discovery Additions 03-09-2026.md,Purpose / Product Boundary,2026-09-03,DISCOVERY,Approved Product Discovery Addition,APPROVED,Detailed approved discovery,No explicit overall roadmap placement,Canonical approved capability family; timing unresolved.,CURRENT,HIGH
C049,Service discovery should be task/service-oriented rather than merely an organization/location directory.,Education Services & Access - Product Discovery Additions 03-09-2026.md,Core Principle,2026-09-03,PRODUCT PRINCIPLE,Approved Product Discovery Addition,APPROVED,Explicit,No contradiction,Retain.,CURRENT,HIGH
C050,The dedicated ranking addition file contains no substantive evidence.,Ranking - Product Discovery Additions 03-09-2026.md,Entire file,2026-09-03,OBSERVATION,Corpus file,EMPTY,Certain: zero bytes,Older scattered ranking mentions exist,Do not infer a ranking model from this file; rankings remain under-discovered.,UNKNOWN,HIGH
C051,"Geography is used for institution location, discovery filters, admission policies, funding restrictions and service access; country/admin-unit semantics vary by jurisdiction.",Catchments-ELDS-Additions-03-09-2026.md,International extensibility + geographic policies,2026-09-03,DISCOVERY,Approved Product Discovery Addition,APPROVED,Repeated across September additions,No universal geographic business workflow established,Retain geography as shared product/domain vocabulary; architecture placement deliberately undecided.,CURRENT,HIGH
C052,"Corpus has institutions, regulators/exam authorities, scholarship providers, publishers/government/service providers, but does not establish one universal Organization identity model.",Education Services & Access - Product Discovery Additions 03-09-2026.md,Provider/Operator concepts,2026-09-03,FINDING,Cross-corpus synthesis,N/A,Multiple contexts show actor identities,No explicit universal-organization decision,"Keep universal Organization as open modelling question, not canonical fact.",UNKNOWN,MEDIUM-HIGH
C053,Programme Discovery was prioritized as the highest-priority public journey and first vertical slice focuses programme search → programme detail → institution/admission context.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/product-experience/PRODUCT-EXPERIENCE-DISCOVERY.md,Journey priorities / first slice,2026-08-10,PROPOSAL,"Product experience discovery, later closure",APPROVED WITH CLOSURE,Strong product-design evidence,Not based on direct user interviews; broader business workflows exist,"Treat as implementation/product-experience priority, not proof it is the only core user journey.",MVP,MEDIUM-HIGH
C054,Product experience document explicitly identifies critical MVP unknowns requiring real user research.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/product-experience/PRODUCT-EXPERIENCE-ARCHITECTURE.md,29.8 Unknowns Requiring Real User Research,2026-08-10,OPEN QUESTION,UX discovery,UNRESOLVED,Direct corpus admission of research gap,No later user-research results found,Canonical reconstruction must mark UX preference claims as hypotheses until researched.,UNKNOWN,HIGH
C055,Corpus contains no documented completed customer interviews/surveys/usability studies; references are mostly proposed future research.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/product-experience/PRODUCT-EXPERIENCE-ARCHITECTURE.md,Hypotheses/unknowns,2026-08-10,FINDING,Corpus-wide scan,N/A,Search found no interview participants or completed empirical studies,Stakeholder definitions and external market research exist,Major evidence-quality limitation: user problems are well-articulated but not empirically validated in corpus.,CURRENT,HIGH
C056,Accessibility is both a foundational problem dimension and a detailed product-experience requirement.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md,Accessibility + product experience docs,2026-08-07 onward,REQUIREMENT,Stakeholder/product experience,FROZEN/APPROVED,Repeated,Detailed WCAG implementation specifics are technical/UX layer,Retain accessible/mobile-friendly presentation as product principle; exact standards belong delivery constraints.,CURRENT,HIGH
C057,"Nigeria is the current geographic product scope; international support is future, while later approved semantics avoid Nigeria-hardcoding where low-cost.",StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md,OQ1-3 + Sep Catchment,2026-08-08/09-03,DECISION,Owner + approved addition,CURRENT,Explicit,"Potential tension, not contradiction",Current scope Nigeria-only; model terminology should not falsely universalize Nigerian concepts.,CURRENT,HIGH
C058,PostgreSQL is canonical source of truth; Typesense is a derived search serving/projection mechanism.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/04-architecture.md,Persistence/Search,V4.6,TECHNICAL CONSTRAINT,Canonical architecture,CURRENT,Repeated in search/acquisition docs,Sep18 uses same principle,"Retain as technical constraint, not product discovery outcome.",CURRENT,HIGH
C059,StudyNexus is a modular monolith using Laravel/LBC; microservices are not the current system design.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/04-architecture.md,Architecture style,V4.6,TECHNICAL CONSTRAINT,Canonical architecture,CURRENT,Explicit architecture evidence,No product need independently proves LBC itself,Retain as technical constraint only; exclude from product opportunity reasoning.,CURRENT,HIGH
C060,"JSONB should be exception/source-raw for variable document-like data, not default canonical domain modelling.",JSONB usage principles 02-09-26.md,JSONB Usage Principle,2026-09-02,TECHNICAL CONSTRAINT,Standalone technical principle,CURRENT/PROPOSED UNCLEAR,Explicit file,Not a product requirement,"Keep in technical appendix only, not canonical product discovery.",CURRENT,MEDIUM
C061,Career pathways are an original need for secondary students but later focused discovery provides no substantive dedicated capability model.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md,Primary Users,2026-08-07,USER/PROBLEM INSIGHT,Historical business discovery,FROZEN,Explicit initial need,Later product focus largely omits it,Unresolved disappearance; requires user research/scope decision rather than silent deletion.,UNKNOWN,MEDIUM
C062,"Transfers, postgraduate opportunities and internships are original undergraduate needs but are not developed in later first-slice discovery.",StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md,Undergraduate Student,2026-08-07,USER/PROBLEM INSIGHT,Historical business discovery,FROZEN,Explicit initial need,Later focused discovery omits detail,Unresolved disappearance/underexplored opportunity.,UNKNOWN,MEDIUM
C063,"Community-contributed information exists as a trust/information category, but a full public community/Q&A product is not established by early problem discovery and is deferred later.",StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md,A3-7/OQ6-8,2026-08-07/08,DISCOVERY,Stakeholder definition,FROZEN,Trust-category evidence,Later architecture grew community capability; first slice defers community,Separate user reporting/community-contributed evidence from speculative community product.,FUTURE,MEDIUM-HIGH
C064,Users need accreditation/recognition information as a legitimacy/trust and comparison input.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md,Problem/user needs + later domain,2026-08-07 onward,USER/PROBLEM INSIGHT,Historical discovery,FROZEN,Repeated across institution detail/domain,"No direct dedicated recognition product discovery, especially international",Retain need; detailed recognition semantics require external/domain research.,CURRENT,MEDIUM-HIGH
C065,Publication visibility is distinct from lifecycle/canonical status and can be selectively controlled.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/governance/DISCOVERY-CLOSURE.md,Publication Modeling,2026-08-10/19,DECISION,Discovery closure,APPROVED,Explicit separation,Sep18 selective landing pages reinforce,Retain conceptual separation; exact boolean/state technical model is implementation detail.,CURRENT,HIGH
C066,Core discovery/search/information access intended free; exact monetization deferred and should not drive information architecture.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md,OQ4-4,2026-08-08,DECISION,Owner decision,RESOLVED/DEFERRED,Explicit,No later monetization evidence found,Keep as strategic principle and open business-research item.,CURRENT,MEDIUM-HIGH
C067,"Across admissions, examinations, funding and service access, StudyNexus repeatedly chooses inform/explain/discover/compare/handoff rather than operate external transactions or decisions.",Education Services & Access - Product Discovery Additions 03-09-2026.md,Product Boundary,2026-09-03,FINDING,Cross-corpus synthesis,N/A,"Repeated non-goals in business, scholarships, exams, services, news",No contradiction,Elevate as product boundary principle.,CURRENT,HIGH
C068,"Historical validity/time matters for cutoffs, policies, sources, scholarship cycles, exam schedules and news updates; history is contextual rather than one universal fact-version concept.",Scholarships - Product Discovery Additions 03-09-2026.md,History/Cycles,2026-09-03,FINDING,Cross-corpus synthesis,N/A,Repeated domain-specific temporal requirements,Earlier activity-log shortcuts sometimes treated corrections as sufficient,Retain temporal product need while leaving implementation/versioning per concept.,CURRENT,HIGH
C069,"Official/verified/historical/community-contributed are information categories/trust concepts, not necessarily four day-one product modes.",StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md,A3-7/OQ6-8,2026-08-07/08,DECISION,Stakeholder definition,FROZEN,Explicit caveat,Later provenance/source reliability modelling differs technically,Preserve distinction between trust semantics and feature scope.,CURRENT,HIGH
