path,directory,filename,bytes,words,extension,depth,readable,is_empty,sha256,exact_duplicate_group_size,exact_duplicate_group,duplicate_representative,is_exact_duplicate_copy,analysis_class,substantive_synthesis_included,exclusion_reason,near_duplicate_cluster
STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/GLOSSARY.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2,GLOSSARY.md,11982,1426,.md,2,True,False,b748543350d18a794a6914cd5d4e4e2db0b3837886d47284d7f53a71ec290454,1,,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/GLOSSARY.md,False,mixed_historical_evidence,True,,ND-001
STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/MANIFEST.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2,MANIFEST.md,22692,2597,.md,2,True,False,b39b5c278ab411f9ceb749848633b7fe04d21abc9976dbcce60950aadb1c2786,1,,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/MANIFEST.md,False,metadata_orientation,False,Used for corpus/authority/chronology only; no independent product conclusion relies on it.,
STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/PRE-IMPLEMENTATION-BASELINE-V2-REPORT.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2,PRE-IMPLEMENTATION-BASELINE-V2-REPORT.md,9992,1246,.md,2,True,False,6535c01b26c390462e170e11b1a5997d6718445c6c560fdae7c10e54fcf3fd7b,1,,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/PRE-IMPLEMENTATION-BASELINE-V2-REPORT.md,False,audit_or_report_mixed,True,,
STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/README.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2,README.md,10261,1225,.md,2,True,False,16821501e9ea1d8b852f191f822184eecacdde68b9d44f30eb7f4ba395abf765,1,,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/README.md,False,metadata_orientation,False,Used for corpus/authority/chronology only; no independent product conclusion relies on it.,
STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/V4.2-REMEDIATION-REPORT.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2,V4.2-REMEDIATION-REPORT.md,16160,2061,.md,2,True,False,303d3f8bfe0b64feac23566100ba0c4ec029963042f23c06c6808fdd71ba88a1,6,XD-019,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/V4.2-REMEDIATION-REPORT.md,False,audit_or_report_mixed,True,,
STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/00-documentation-audit-report.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive,00-documentation-audit-report.md,39641,5118,.md,3,True,False,5de4bd505d046ac30d4344cf9d99b8249c1f0debd8047e3d4659526bf0a4a21e,8,XD-032,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/00-documentation-audit-report.md,False,audit_or_report_mixed,True,,
STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/00-reconciliation-proposal.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive,00-reconciliation-proposal.md,30005,3693,.md,3,True,False,d3945637546b8b69a4e11e8623719ff34c8314dce3f9cc9605603d3aa675eae3,8,XD-073,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/00-reconciliation-proposal.md,False,mixed_historical_evidence,True,,
STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive,01-business-overview.md,12843,1484,.md,3,True,False,70a5bd289c8b2945350cc3dfe27a6f727db770e84a5f60740f529db457c5fde4,9,XD-036,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md,False,product_discovery_or_decision,True,,
STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/02-glossary.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive,02-glossary.md,8538,1129,.md,3,True,False,a64bc423478e4c75cc5459bd69f0961c61f6c9d0155a163db003f1e9178b20bc,8,XD-053,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/02-glossary.md,False,mixed_historical_evidence,True,,
STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive,03-approved-decisions.md,16118,2005,.md,3,True,False,2cea05b2ef3eca41cd7ea37c6b5f9a3246d462eab178a2a4b385ea30335ee620,9,XD-017,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md,False,product_discovery_or_decision,True,,
STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive,04-open-questions.md,7981,1006,.md,3,True,False,11962f984e517c02f753b9b25030e2c1257e98d4169f4be2d5790903792055f4,9,XD-006,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md,False,product_discovery_or_decision,True,,
STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/06-business-workflows.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive,06-business-workflows.md,20707,2539,.md,3,True,False,717c602d5b612f3193ab87f473b026b69872a298f7294d71cf1d3f4ddea57f3d,8,XD-037,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/06-business-workflows.md,False,product_discovery_or_decision,True,,
STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/07-business-discovery-closure.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive,07-business-discovery-closure.md,11123,1331,.md,3,True,False,6ed21ab4b355541e3a5c8a4cd860a7b06b8f438ea6ea7a162bd4d7f841b64129,8,XD-035,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/07-business-discovery-closure.md,False,product_discovery_or_decision,True,,
STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/08-traceability-matrix.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive,08-traceability-matrix.md,12765,1582,.md,3,True,False,fbbb93de3459a14257b4a82286e6f71d5c42a2f50765e6da0a4d594e795d5530,7,XD-080,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/08-traceability-matrix.md,False,mixed_historical_evidence,True,,
STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/09-business-discovery-freeze.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive,09-business-discovery-freeze.md,4487,592,.md,3,True,False,c1dfad3462d93eaf6070bc556eb819183316c2fa44e110ad57f9c0a1fdfc428c,9,XD-068,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/09-business-discovery-freeze.md,False,product_discovery_or_decision,True,,
STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/11-domain-discovery-topic2.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive,11-domain-discovery-topic2.md,92266,10352,.md,3,True,False,b30bcbe451451ab34c823d5257b0050b5dd9917acd788264577a2023766aa0dd,8,XD-058,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/11-domain-discovery-topic2.md,False,domain_discovery,True,,
STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/12-domain-discovery-topic2-revision.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive,12-domain-discovery-topic2-revision.md,62702,7033,.md,3,True,False,0ed1e8597ec733b16ca8f0951550125cac027815fda817bf2671b8e3626ac3c3,8,XD-004,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/12-domain-discovery-topic2-revision.md,False,domain_discovery,True,,
STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/13-domain-discovery-consolidation.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive,13-domain-discovery-consolidation.md,75673,9152,.md,3,True,False,82d25a326e4676a9e83c11279c28c2bfe916eb56e3d605e4df2590b340be4f07,8,XD-042,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/13-domain-discovery-consolidation.md,False,mixed_historical_evidence,True,,
STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/14-architectural-review-global-domain.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive,14-architectural-review-global-domain.md,34976,4575,.md,3,True,False,15eebf8a7845c74a562e971baffc4ca07f66207b0eb75555deb14dc13a1b2279,9,XD-008,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/14-architectural-review-global-domain.md,False,mixed_historical_evidence,True,,
STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/15-domain-discovery-topic4-behaviour.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive,15-domain-discovery-topic4-behaviour.md,139882,17349,.md,3,True,False,8be2133dd4302515abd32ae97d4264deda9ae5577a7caf66dd89bc9125ab29cc,8,XD-044,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/15-domain-discovery-topic4-behaviour.md,False,domain_discovery,True,,
STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/16-domain-discovery-topic3.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive,16-domain-discovery-topic3.md,98591,12292,.md,3,True,False,f6ce0caa6457b3b573ea7ef4f245c563eac474958ad2c37dca96d2dcf6d76608,8,XD-079,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/16-domain-discovery-topic3.md,False,domain_discovery,True,,
STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/17-domain-integrity-review.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive,17-domain-integrity-review.md,56794,7507,.md,3,True,False,208a4a7610ee77bd3ea92175ca7781200b2ca5122b0dcdd95e6e197a5445ba46,8,XD-012,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/17-domain-integrity-review.md,False,domain_discovery,True,,
STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/18-domain-resolution-analysis.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive,18-domain-resolution-analysis.md,67941,9103,.md,3,True,False,8e9a38de60815f397e77a4631f3d845042dd186e5b018280fb8451dd6b0bab0c,8,XD-046,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/18-domain-resolution-analysis.md,False,domain_discovery,True,,
STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/19-domain-architecture.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive,19-domain-architecture.md,114709,12334,.md,3,True,False,0d9e019903321b227c8d399c14a8aa926e7f78c90361653145dc9a25afd4561b,8,XD-003,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/19-domain-architecture.md,False,architecture_implementation,False,Scanned for product-impacting consequences and historical drift; not primary product/problem evidence.,
STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/20-domain-architecture-validation.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive,20-domain-architecture-validation.md,95160,11771,.md,3,True,False,333f179e116447071bec460a6704ed5576d8e6238060b4fec5f91310df8b66be,8,XD-020,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/20-domain-architecture-validation.md,False,architecture_implementation,False,Scanned for product-impacting consequences and historical drift; not primary product/problem evidence.,
STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/21-domain-architecture-frozen-baseline.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive,21-domain-architecture-frozen-baseline.md,108803,12005,.md,3,True,False,5714e0c76d2cc9c87b61af4eea0a267ffbaf815376332f9b84d5e1c97de1ba9c,9,XD-027,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/21-domain-architecture-frozen-baseline.md,False,architecture_implementation,False,Scanned for product-impacting consequences and historical drift; not primary product/problem evidence.,
STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/22-post-freeze-platform-architecture-review.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive,22-post-freeze-platform-architecture-review.md,79823,8912,.md,3,True,False,886716950b7b3ba5a9dfcef3fedcfb467eb66b1c3860b80323d43b856f308da3,9,XD-043,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/22-post-freeze-platform-architecture-review.md,False,architecture_implementation,False,Scanned for product-impacting consequences and historical drift; not primary product/problem evidence.,
STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/23-laravel-ecosystem-build-vs-buy-review.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive,23-laravel-ecosystem-build-vs-buy-review.md,116374,13571,.md,3,True,False,c09fa4f087aca72d3921e8525450afef3d9edd9c719fd211c77268743be52c29,9,XD-065,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/23-laravel-ecosystem-build-vs-buy-review.md,False,mixed_historical_evidence,True,,
STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/24-final-platform-and-capability-architecture.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive,24-final-platform-and-capability-architecture.md,117115,13899,.md,3,True,False,217973d4b8416b598b5f2bcca737799bed40d08d73756fabbc524549ad91b9fa,9,XD-014,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/24-final-platform-and-capability-architecture.md,False,architecture_implementation,False,Scanned for product-impacting consequences and historical drift; not primary product/problem evidence.,
STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/26-pre-implementation-reconciliation.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive,26-pre-implementation-reconciliation.md,57858,7146,.md,3,True,False,fd8691af9a925206dd726cbf32983d1873304fe2f9a387ab51c558a6b0d711ad,9,XD-083,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/26-pre-implementation-reconciliation.md,False,mixed_historical_evidence,True,,
STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/27-final-corrected-pre-implementation-blueprint.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive,27-final-corrected-pre-implementation-blueprint.md,85973,10551,.md,3,True,False,c9a0bdaf8cc2c3e8fd18ee1440e025737e821477605e34cb57f68d57cf55a8b9,9,XD-070,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/27-final-corrected-pre-implementation-blueprint.md,False,mixed_historical_evidence,True,,
STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/28-package-verification-audit.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive,28-package-verification-audit.md,57038,7335,.md,3,True,False,bcd2c53ee3004be3d6f16e80bbe72d442122502d69526a63cdc7f780cd3ebbac,8,XD-063,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/28-package-verification-audit.md,False,implementation_or_technical_audit,False,Scanned for reversals/contract changes; technical implementation material not primary product-discovery evidence.,
STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/29-rbac-decision.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive,29-rbac-decision.md,4203,461,.md,3,True,False,992b84c7d063f6b4a9d7db3209d98030705a650c76ad81397f1cd23e391910f7,9,XD-049,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/29-rbac-decision.md,False,architecture_implementation,False,Scanned for product-impacting consequences and historical drift; not primary product/problem evidence.,
STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/30-data-acquisition-pipeline.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive,30-data-acquisition-pipeline.md,19684,1752,.md,3,True,False,18c7c1d07abf6b1f66eb4a5a234f462335bc293f2356bc00e410b1a670e28c69,9,XD-011,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/30-data-acquisition-pipeline.md,False,data_acquisition_evidence,True,,
STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/HISTORICAL-README.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive,HISTORICAL-README.md,5602,692,.md,3,True,False,5a6114b1f966f3da4b8c240b479451451d1f3b1f9594885966d2f8a1285e1f20,8,XD-029,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/HISTORICAL-README.md,False,metadata_orientation,False,Used for corpus/authority/chronology only; no independent product conclusion relies on it.,
STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/VERIFICATION-REPORT.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive,VERIFICATION-REPORT.md,39637,5124,.md,3,True,False,eae4fc33ca1158b08948e1fe4a6936607d4cf09917e53a4ac95cb97aa15c7b98,7,XD-078,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/VERIFICATION-REPORT.md,False,audit_or_report_mixed,True,,
STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/canonical/01-business.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/canonical,01-business.md,48139,6076,.md,3,True,False,c0248291bdda23d03f2a592dd036864f15f9c7cdb47bce869fad5dd8198e7e01,8,XD-064,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/canonical/01-business.md,False,product_discovery_or_decision,True,,ND-002
STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/canonical/02-decisions.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/canonical,02-decisions.md,73766,9638,.md,3,True,False,4d5de0b686f3ec3c26813900553e292044f4693f2b7a376dd35aef7bd528e6a9,1,,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/canonical/02-decisions.md,False,canonical_decision_domain_evidence,True,,ND-003
STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/canonical/03-domain.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/canonical,03-domain.md,84240,10189,.md,3,True,False,94bbfd8c5cc2af4e77ad4fdbfcc095de56f4295870a9fc5210edee898c40622e,1,,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/canonical/03-domain.md,False,canonical_decision_domain_evidence,True,,ND-004
STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/canonical/04-architecture.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/canonical,04-architecture.md,70911,8647,.md,3,True,False,c58eda96b628e4a8442cefd339e1ebf59c05faaafb7b44b3cbf1e041d66fb8e7,1,,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/canonical/04-architecture.md,False,architecture_implementation,False,Scanned for product-impacting consequences and historical drift; not primary product/problem evidence.,ND-005
STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/canonical/05-implementation.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/canonical,05-implementation.md,123658,14842,.md,3,True,False,124e46a6f0a348d48a7841917c693e726eb6a2e300ce23e30b9682dba9ec9e79,1,,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/canonical/05-implementation.md,False,architecture_implementation,False,Scanned for product-impacting consequences and historical drift; not primary product/problem evidence.,
