cluster,path_a,path_b,cosine_similarity
ND-008,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/governance/DISCOVERY-CLOSURE.md,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/governance/DISCOVERY-CLOSURE.md,0.9912046579350666
ND-008,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/DISCOVERY-CLOSURE.md,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/governance/DISCOVERY-CLOSURE.md,0.9883099627440882
ND-009,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/governance/FINAL-TARGETED-SCHEMA-PROVENANCE-HOSTILE-REVIEW.md,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/FINAL-TARGETED-SCHEMA-PROVENANCE-HOSTILE-REVIEW.md,0.9870346738722461
ND-010,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/governance/FOUNDATIONAL-DECISIONS-ADVERSARIAL-REVIEW.md,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/FOUNDATIONAL-DECISIONS-ADVERSARIAL-REVIEW.md,0.9964191031275651
ND-011,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/governance/FOUNDATIONAL-DECISIONS-BRIEF.md,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/FOUNDATIONAL-DECISIONS-BRIEF.md,0.9966260284637412
ND-011,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/governance/FOUNDATIONAL-DECISIONS-BRIEF.md,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/governance/FOUNDATIONAL-DECISIONS-BRIEF.md,0.9969333593179559
ND-011,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/FOUNDATIONAL-DECISIONS-BRIEF.md,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/governance/FOUNDATIONAL-DECISIONS-BRIEF.md,0.9996917227801813
ND-012,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/product-experience/FIRST-VERTICAL-SLICE-UX.md,StudyNexus-Independent-Audit-Package-v3/02-PRODUCT-EXPERIENCE/FIRST-VERTICAL-SLICE-UX.md,0.9909294392379917
ND-012,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/product-experience/FIRST-VERTICAL-SLICE-UX.md,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/product-experience/FIRST-VERTICAL-SLICE-UX.md,0.9987916593585843
ND-012,StudyNexus-Independent-Audit-Package-v3/02-PRODUCT-EXPERIENCE/FIRST-VERTICAL-SLICE-UX.md,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/product-experience/FIRST-VERTICAL-SLICE-UX.md,0.992168339173324
ND-013,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/product-experience/PRODUCT-EXPERIENCE-ARCHITECTURE.md,StudyNexus-Independent-Audit-Package-v4/02-PRODUCT-EXPERIENCE/PRODUCT-EXPERIENCE-ARCHITECTURE.md,0.984523908682789
ND-013,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/product-experience/PRODUCT-EXPERIENCE-ARCHITECTURE.md,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/product-experience/PRODUCT-EXPERIENCE-ARCHITECTURE.md,0.9881064173791008
ND-013,StudyNexus-Independent-Audit-Package-v4/02-PRODUCT-EXPERIENCE/PRODUCT-EXPERIENCE-ARCHITECTURE.md,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/product-experience/PRODUCT-EXPERIENCE-ARCHITECTURE.md,0.996469894956408
ND-014,StudyNexus-Independent-Audit-Package-v3/01-CANONICAL/04-architecture.md,StudyNexus-Pre-Implementation-Baseline/PRE-IMPLEMENTATION-BASELINE/canonical/04-architecture.md,0.973941444415929
ND-015,StudyNexus-Independent-Audit-Package-v3/02-PRODUCT-EXPERIENCE/PRODUCT-EXPERIENCE-DISCOVERY.md,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/product-experience/PRODUCT-EXPERIENCE-DISCOVERY.md,0.9995394992149018
ND-016,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/CANONICAL-UPDATE-REPORT.md,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/governance/CANONICAL-UPDATE-REPORT.md,0.9958496953139806
ND-017,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/README.md,StudyNexus-V4.3-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/README.md,0.9977394208048208
ND-017,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/README.md,StudyNexus-V4.5-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/README.md,0.9769828375327251
ND-017,StudyNexus-V4.3-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/README.md,StudyNexus-V4.5-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/README.md,0.9792104540588713
ND-018,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/canonical/05-implementation.md,StudyNexus-V4.3-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/05-implementation.md,0.9772828608667254
ND-018,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/canonical/05-implementation.md,StudyNexus-V4.4-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/05-implementation.md,0.9765482423860453
ND-018,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/canonical/05-implementation.md,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/05-implementation.md,0.976470379563654
ND-018,StudyNexus-V4.3-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/05-implementation.md,StudyNexus-V4.4-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/05-implementation.md,0.9992400677400515
ND-018,StudyNexus-V4.3-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/05-implementation.md,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/05-implementation.md,0.9991579168483254
ND-018,StudyNexus-V4.4-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/05-implementation.md,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/05-implementation.md,0.9998212590840945
ND-019,StudyNexus-V4.4-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/06-data-acquisition.md,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/06-data-acquisition.md,0.98733166744295
