corpus_id,title,category,subcategory,status,authority,temporal_scope,source_count,source_ids,related_decision_ids,related_question_ids,supersedes,superseded_by,output_path,keywords
COR-QUAL-001,"Information Quality, Corrections and Community Inputs",information-quality-and-community,information-quality,CURRENT_SUPPORTING,SUPPORTING,CURRENT,2,SRC-0007 | SRC-0531,R008 | R018 | R019,,,,11-Information-Quality-and-Community/Information-Quality-Corrections-and-Community-Inputs.md,information quality | correction | community | user contribution | report | reliability | trust
COR-INTL-001,Internationalisation Semantics and Jurisdiction,internationalisation,semantics,CURRENT_SUPPORTING,SUPPORTING,CURRENT,0,,R014 | R015 | R018,,,,12-Internationalisation/Internationalisation-Semantics-and-Jurisdiction.md,international | country | jurisdiction | multi-country | global | study abroad | geographic expansion
COR-DATA-001,"Canonical Information, Source Evidence and Derived State",data-and-provenance,information-states,CURRENT_SUPPORTING,SUPPORTING,CURRENT,0,,R015 | R018 | R019,,,,13-Data-and-Provenance/Canonical-Information-Source-Evidence-and-Derived-State.md,source evidence | canonical information | candidate | derived | provenance | source authority | trust boundary
COR-DATA-002,"Provenance, Lineage, Versioning and MISSING ≠ DELETE",data-and-provenance,provenance-lineage,CURRENT_SUPPORTING,SUPPORTING,CURRENT,2,SRC-0526 | SRC-0119,R004 | R018 | R019,,,,13-Data-and-Provenance/Provenance-Lineage-Versioning-and-Missing-Delete.md,provenance | lineage | missing | delete | revision | history | versioning | source capture
COR-DATA-003,"Historical Data Model, Schema and JSONB",data-and-provenance,data-model,HISTORICAL,TECHNICAL_HISTORY,HISTORICAL,5,SRC-0003 | SRC-0520 | SRC-0019 | SRC-0111 | SRC-0292,,,,,13-Data-and-Provenance/Historical-Data-Model-Schema-and-JSONB.md,jsonb | schema | database | table | postgresql | field provenance | external identifiers
COR-ACQ-001,"Data Acquisition, Ingestion and Reconciliation",acquisition-and-operations,acquisition,HISTORICAL,TECHNICAL_HISTORY,HISTORICAL,9,SRC-0510 | SRC-0518 | SRC-0527 | SRC-0020 | SRC-0097 | SRC-0188 | SRC-0290 | SRC-0347 | SRC-0461,R002,,,,14-Acquisition-and-Operations/Data-Acquisition-Ingestion-and-Reconciliation.md,data acquisition | ingestion | import | staging | reconciliation | adapter | pending import | pending revision | scraping | crawler
COR-ACQ-002,Acquisition Trust Boundary and Operational Safety,acquisition-and-operations,acquisition-safety,CURRENT_SUPPORTING,SUPPORTING,CURRENT,0,,,,,,14-Acquisition-and-Operations/Acquisition-Trust-Boundary-and-Operational-Safety.md,credential boundary | production snapshot | immutable | replayable | production database | trust boundary | safety
COR-TECH-001,Historical Platform and Application Architecture,technical-and-architecture,platform-architecture,HISTORICAL,TECHNICAL_HISTORY,HISTORICAL,15,SRC-0503 | SRC-0504 | SRC-0506 | SRC-0507 | SRC-0508 | SRC-0511 | SRC-0516 | SRC-0529 | SRC-0018 | SRC-0095 | SRC-0109 | SRC-0186 | SRC-0231 | SRC-0288 | SRC-0546,R009 | R017,,,,15-Technical-and-Architecture/Historical-Platform-and-Application-Architecture.md,architecture | platform architecture | tall | laravel | livewire | filament | application architecture
COR-TECH-002,"Historical Domain, DDD and Aggregate Design",technical-and-architecture,ddd-history,HISTORICAL,TECHNICAL_HISTORY,HISTORICAL,25,SRC-0494 | SRC-0495 | SRC-0497 | SRC-0498 | SRC-0499 | SRC-0500 | SRC-0501 | SRC-0502 | SRC-0505 | SRC-0512 | SRC-0514 | SRC-0515 | SRC-0523 | SRC-0528 | SRC-0016 | SRC-0017 | SRC-0093 | SRC-0094 | SRC-0096 | SRC-0128 | SRC-0184 | SRC-0185 | SRC-0286 | SRC-0287 | SRC-0300,R012 | R016,,,,15-Technical-and-Architecture/Historical-Domain-DDD-and-Aggregate-Design.md,domain model | aggregate | entity | value object | domain event | bounded context | domain architecture | ddd
COR-TECH-003,Historical Implementation Blueprint and Laravel Structure,technical-and-architecture,implementation-history,HISTORICAL,TECHNICAL_HISTORY,HISTORICAL,6,SRC-0517 | SRC-0187 | SRC-0232 | SRC-0289 | SRC-0346 | SRC-0460,,,,,15-Technical-and-Architecture/Historical-Implementation-Blueprint-and-Laravel-Structure.md,implementation blueprint | implementation plan | laravel beyond crud | namespace | action class | repository | build vs buy
COR-TECH-004,"Historical RBAC, Authentication and Authorization",technical-and-architecture,rbac,HISTORICAL,TECHNICAL_HISTORY,HISTORICAL,1,SRC-0509,R003 | R016,,,,15-Technical-and-Architecture/Historical-RBAC-Authentication-and-Authorization.md,rbac | role | authorization | authentication | organizationmember | policy
COR-TECH-005,"Historical Infrastructure, Queues, Caching and Operations",technical-and-architecture,infrastructure,HISTORICAL,TECHNICAL_HISTORY,HISTORICAL,0,,R017,,,,15-Technical-and-Architecture/Historical-Infrastructure-Queues-Caching-and-Operations.md,infrastructure | queue | redis | cache | deployment | observability | backup | performance | server
COR-GOV-001,"Governance, Authority and Change Control",governance-privacy-and-compliance,authority,CURRENT_SUPPORTING,SUPPORTING,CURRENT,10,SRC-0481 | SRC-0491 | SRC-0521 | SRC-0522 | SRC-0011 | SRC-0113 | SRC-0114 | SRC-0115 | SRC-0253 | SRC-0294,R004,,,,16-Governance-Privacy-and-Compliance/Governance-Authority-and-Change-Control.md,authority hierarchy | canonical authority | freeze | change proposal | governance | amendment | consistency audit
COR-GOV-002,"Privacy, Security, Legal and Compliance",governance-privacy-and-compliance,privacy-security,HISTORICAL,HISTORICAL_SUPPORT,HISTORICAL,0,,,,,,16-Governance-Privacy-and-Compliance/Privacy-Security-Legal-and-Compliance.md,privacy | security | legal | consent | retention | analytics | advertising | compliance | backup
COR-DEC-001,Decision and Evolution,decisions-and-open-questions,decisions,CURRENT_SUPPORTING,SUPPORTING,CURRENT,4,SRC-0486 | SRC-0525 | SRC-0539 | SRC-0551,R017,,,,17-Decisions-and-Open-Questions/Decision-and-Evolution.md,decision | adr | approved decisions | decision ledger | resolution | change manifest | contract registry
COR-DEC-002,Open Questions and Unresolved Matters,decisions-and-open-questions,open-questions,OPEN_QUESTION,SUPPORTING,CURRENT,2,SRC-0487 | SRC-0545,R008 | R009,OQ-001 | OQ-002 | OQ-003,,,17-Decisions-and-Open-Questions/Open-Questions-and-Unresolved-Matters.md,open question | unresolved | unknown | pending | material issues
COR-HIST-001,"Audits, Remediation and Baseline Evolution",historical-and-exploratory,audit-remediation,HISTORICAL,HISTORICAL_SUPPORT,HISTORICAL,34,SRC-0482 | SRC-0084 | SRC-0085 | SRC-0087 | SRC-0088 | SRC-0090 | SRC-0103 | SRC-0104 | SRC-0105 | SRC-0106 | SRC-0107 | SRC-0108 | SRC-0110 | SRC-0112 | SRC-0116 | SRC-0121 | SRC-0122 | SRC-0123 | SRC-0125 | SRC-0126 | SRC-0118 | SRC-0146 | SRC-0147 | SRC-0148 | SRC-0149 | SRC-0151 | SRC-0538 | SRC-0540 | SRC-0543 | SRC-0544 | SRC-0548 | SRC-0550 | SRC-0552 | SRC-0553,,,,,18-Historical-and-Exploratory/Audits-Remediation-and-Baseline-Evolution.md,audit | remediation | reconciliation | finding ledger | hostile review | verification report | correction report | cleanup report
COR-HIST-002,"Rejected, Deferred and Exploratory Proposals",historical-and-exploratory,rejected-deferred,HISTORICAL,HISTORICAL_SUPPORT,HISTORICAL,1,SRC-0483,R004 | R010 | R015 | R016,,,,18-Historical-and-Exploratory/Rejected-Deferred-and-Exploratory-Proposals.md,rejected | deferred | alternative architecture | proposal | exploratory | future | later
COR-HIST-003,"Handoff, Manifest and Archive Structure History",historical-and-exploratory,archive-structure,ARCHIVE_ONLY,ARCHIVE_REFERENCE,HISTORICAL,31,SRC-0004 | SRC-0530 | SRC-0536 | SRC-0012 | SRC-0013 | SRC-0014 | SRC-0021 | SRC-0050 | SRC-0051 | SRC-0081 | SRC-0086 | SRC-0089 | SRC-0091 | SRC-0098 | SRC-0130 | SRC-0132 | SRC-0145 | SRC-0150 | SRC-0195 | SRC-0245 | SRC-0251 | SRC-0302 | SRC-0308 | SRC-0359 | SRC-0416 | SRC-0422 | SRC-0473 | SRC-0541 | SRC-0547 | SRC-0549 | SRC-0554,,,,,18-Historical-and-Exploratory/Handoff-Manifests-and-Archive-Structure-History.md,manifest | readme | orientation | package scope | current state map | archive contamination | changed file inventory
