decision_id,title,decision_status,decision_statement,period,rationale,affected_areas,superseded_decisions,supporting_sources,current_authority
R016,"Should institutions, regulators, exam bodies, scholarship providers and service providers be one Organization concept?",CURRENT NORMALIZATION,Do not canonize a universal Organization product concept. Use concrete actor roles and leave shared identity modeling to later evidence/DDD if a real cross-role business responsibility emerges.,2026-09 accepted Product Discovery handoff,Actor inventory and domain discovery; no common lifecycle/rules established.,Organization / actor roles,,Education Services & Access - Product Discovery Additions 03-09-2026.md | Current remediation protocol (user instruction),ACCEPTED PRODUCT DISCOVERY RESOLUTION LEDGER
R017,"How should search, discovery, SEO publication and search infrastructure relate?",CURRENT NORMALIZATION,Keep distinct: Search = intentional retrieval; Discovery = exploration/curation; Publication/indexability = decision about public/indexed surfaces; Search infrastructure = serving mechanism. Selective indexation remains product principle.,2026-09 accepted Product Discovery handoff,Known-target vs exploration; selective indexation; Typesense/PostgreSQL serving history.,Search; Discovery; Publication/Indexability; SEO,,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/governance/DISCOVERY-CLOSURE.md | studynexus-v4.7-remediation-package/studynexus-v4.7/README.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/04-architecture.md | STUDYNEXUS_PROGRAMME_DISCOVERY_CLASSIFICATION-18th-Sept-2026.md | Current remediation protocol (user instruction),ACCEPTED PRODUCT DISCOVERY RESOLUTION LEDGER
R018,What are category-specific source-authority hierarchies?,OPEN BUSINESS RULE,Keep source authority/freshness/conflict as canonical product concerns. Define category-specific precedence during UL/business-rule work rather than inventing a single global hierarchy now.,2026-09 accepted Product Discovery handoff,"Information-quality rules, source provenance, official/verified/historical/community categories.",Source authority; Provenance; Information quality,,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/06-data-acquisition.md | News Post-UTME - Product Discovery Additions V2 03-09-2026.md,ACCEPTED PRODUCT DISCOVERY RESOLUTION LEDGER
R019,Which user-facing trust signals are canonical?,CURRENT PRODUCT PRINCIPLE / UX OPEN,"Canonicalize the information users may need—source/authority, freshness, verification state, historical/conflict context where material—not a specific badge/color/UI implementation.",2026-09 accepted Product Discovery handoff,"Trust problem, information categories, provenance/freshness/conflict evidence.",Trust signals; Provenance UX,,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/product-experience/PRODUCT-EXPERIENCE-ARCHITECTURE.md,ACCEPTED PRODUCT DISCOVERY RESOLUTION LEDGER
R020,Is Product Discovery ready to begin Ubiquitous Language?,CURRENT READINESS DECISION,"After this canonicalization package, Product Discovery is READY WITH EXPLICIT ASSUMPTIONS for Ubiquitous Language. No true blocker remains; programme/offering distinction remains explicit and reversible; several MVP capabilities remain underspecified but bounded and traceable.",2026-09 accepted Product Discovery handoff,"Remediated reconstruction, current scope normalization, resolution pass and canonicalization quality gate.",Product Discovery readiness,,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md | STUDYNEXUS_PROGRAMME_DISCOVERY_CLASSIFICATION-18th-Sept-2026.md | Education Services & Access - Product Discovery Additions 03-09-2026.md | STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md | STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md | STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/24-final-platform-and-capability-architecture.md | News Post-UTME - Product Discovery Additions V2 03-09-2026.md | Proposed Product Discovery Addition 02-09-2026.md | Ranking - Product Discovery Additions 03-09-2026.md | Current remediation protocol (user instruction) | STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/16-domain-discovery-topic3.md | Pasted markdown(20260921-105149).md [current owner instruction; outside historical corpus],ACCEPTED PRODUCT DISCOVERY RESOLUTION LEDGER
HDEC-001,1.1 Identity & Vision (A0),HISTORICAL_DECISION,See source.,V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,1. Business Discovery Decisions,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
HDEC-002,1.2 Primary Users (A1),HISTORICAL_DECISION,See source.,V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,1. Business Discovery Decisions,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
HDEC-003,1.3 Secondary Users & Architecture Principles (A2),HISTORICAL_DECISION,See source.,V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,1. Business Discovery Decisions,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
HDEC-004,1.4 Problem Space (A3),HISTORICAL_DECISION,See source.,V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,1. Business Discovery Decisions,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
HDEC-005,1.5 Strategic Evolution (A4),HISTORICAL_DECISION,See source.,V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,1. Business Discovery Decisions,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
HDEC-006,1.6 Capabilities (A5),HISTORICAL_DECISION,See source.,V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,1. Business Discovery Decisions,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
HDEC-007,1.7 Workflows — Secondary School Student & Graduate (A6),HISTORICAL_DECISION,See source.,V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,1. Business Discovery Decisions,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
HDEC-008,1.8 Workflows — Undergraduate Student (A7),HISTORICAL_DECISION,See source.,V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,1. Business Discovery Decisions,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
HDEC-009,1.9 Workflows — Canonical Consolidation (A8),HISTORICAL_DECISION,See source.,V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,1. Business Discovery Decisions,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
HDEC-010,1.10 Workflows — Guidance Counsellor/Teacher & Discovery Closure (A9),HISTORICAL_DECISION,"--- ## 2. Resolved Open Questions All 22 original open questions have been resolved as of 2026-08-08. These resolutions complement the approved decisions by answering questions that were deliberately left open during Business Discovery. They carry the same authority as approved decisions for the purposes of downstream phases. --- ## 3. Architecture Decision Records The following ADRs were developed during Domain Architecture (per `19-domain-architecture.md`), validated during the adversarial validation review (per `20-domain-architecture-validation.md`), corrected where necessary, and promoted to Accepted or Deferred status in the frozen baseline (per `21-domain-architecture-frozen-baseline.md`). ADR-1 through ADR-14 originated in the architecture document; ADR-15 and ADR-16 were added by the frozen baseline to resolve validation-identified gaps; ADR-17 is an intentional deferment; ADR-1",V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,1. Business Discovery Decisions,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
ADR-1,ADR-1: Eloquent Model as Aggregate Root Persistence,HISTORICAL_TECHNICAL_DECISION,"**Status:** Accepted **Context:** The domain model has 5 aggregate roots with protected invariants, domain operations, and consistency boundaries. The architecture must decide how to persist these aggregates while maintaining domain integrity. Three options exist: (A) separate domain entity classes with repositories mapping to Eloquent, (B) domain entities composing Eloquent models, (C) Eloquent models containing domain behaviour directly. **Decision:** Use Eloquent models directly as the aggregate persistence representation with domain operations as named methods. No separate domain entity classes. This is Option C — the Eloquent model IS the aggregate's persistence representation with domain operations as named methods. Domain operations (e.g., `Institution::suspend()`, `Programme::discontinue()`) are named methods on the Eloquent model that enforce invariants before mutating state. Th",V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,3. Architecture Decision Records,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
ADR-2,ADR-2: Action Pattern Adoption,HISTORICAL_TECHNICAL_DECISION,"**Status:** Accepted **Context:** The application has operations ranging from simple single-domain calls (rename an institution) to complex cross-aggregate orchestrations (merge two institutions). The architecture must decide which operations deserve the Action pattern and which can live directly in controllers or Livewire components. **Decision:** Adopt the Laravel Beyond CRUD Action pattern for operations that meet at least one of four explicit criteria: (1) Multi-step orchestration — coordinates more than one domain operation, validation step, or application concern in a single transaction; (2) Multi-entry-point reuse — invoked from multiple entry points (HTTP + Filament + Import) and a single Action class provides the reusable orchestration point; (3) Significant cascade — triggers cascading effects across multiple aggregates requiring explicit transactional coordination beyond event",V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,3. Architecture Decision Records,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
ADR-3,ADR-3: Domain Event Implementation,HISTORICAL_TECHNICAL_DECISION,"**Status:** Accepted **Context:** Domain events represent business facts that other parts of the system react to (search index updates, trust signal recalculation, notifications, audit logging). The architecture must decide the implementation mechanism: shared interface, shared trait, or plain classes. **Decision:** Domain events are plain PHP classes with constructor-injected payload. No shared interface. No shared trait. Listeners type-hint the specific event class. Each event carries the minimum payload needed by its listeners. The `occurredAt` timestamp is set in the constructor as an immutable default. There are 29 canonical domain events. No event sourcing; events are fire-and-forget business facts dispatched from domain methods. **Consequences:** This is the simplest approach that works — consistent with Laravel Beyond CRUD's ""avoid ceremony that provides no business value."" No ge",V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,3. Architecture Decision Records,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
ADR-4,ADR-4: Value Object Persistence,HISTORICAL_TECHNICAL_DECISION,"**Status:** Accepted **Context:** The domain has 29 Value Objects that must be persisted to the database. Some are complex immutable PHP objects (AdmissionRule, EligibilityRule), some are PHP backed enums (InstitutionType, AwardLevel), and some are computed (TrustSignal). The architecture must decide how each category is persisted. **Decision:** Custom Eloquent casts for complex VOs (AdmissionRule, EligibilityRule, SubjectCombination, QualificationThreshold, ValidityPeriod, MonetaryAmount, Duration, Location, AuthorityJurisdiction, PhaseSequence, AdmissionPathway). PHP backed enums for enum-like VOs (17 enums total). JSON columns for collection VOs (rules stored as JSON arrays within their parent cast). Computed VOs (TrustSignal) are never stored — they are derived by queries. Domain VOs and Spatie Laravel Data DTOs are never the same class. **Consequences:** Each VO has a single, docume",V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,3. Architecture Decision Records,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
ADR-5,ADR-5: Read Model Strategy,HISTORICAL_TECHNICAL_DECISION,"**Status:** Accepted **Context:** Some queries (isAdmitting, isApplicableTo, isReliable, isAdmissionOpen) derive answers from multiple aggregates and serve read concerns. These should not be domain operations on any single aggregate. **Decision:** Dedicated Query classes in `App\Queries\` for all read concerns. Eloquent eager-loading for simple queries. Cross-aggregate queries (isAdmitting, isApplicableTo) are eventually consistent read-model queries. The write model is the authoritative source; read models are projections that may lag slightly. **Consequences:** Clear separation between write operations (Actions + domain methods) and read operations (Query classes). Read models are eventually consistent — acceptable for a discovery domain where users expect slight lag but not for transactional systems. 15 canonical queries defined across institutions, programmes, scholarships, admission",V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,3. Architecture Decision Records,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
ADR-6,ADR-6: Search Engine Selection,HISTORICAL_TECHNICAL_DECISION,"**Status:** Accepted **Context:** The platform needs faceted search with autocomplete for institutions, programmes, and scholarships. Two options: PostgreSQL full-text search (no additional infrastructure) or Typesense via Laravel Scout (purpose-built search engine with faceted search). **Decision:** Typesense is the V1 search engine for full-text search, faceting, and typo-tolerant discovery. PostgreSQL FTS is maintained as a secondary search capability for admin search and as a fallback when Typesense is unavailable. Scout driver is Typesense for V1; `database` driver available for fallback. The domain is never coupled to the search engine — all indexing is triggered by domain events via the UpdateSearchIndex listener. Scout provides the abstraction layer for switching. **Consequences:** Zero additional infrastructure for MVP. The search engine is an infrastructure concern, not a domai",V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,3. Architecture Decision Records,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
ADR-7,ADR-7: Spatie Package Adoption,HISTORICAL_TECHNICAL_DECISION,"**Status:** Accepted **Context:** The Laravel ecosystem has Spatie packages that address cross-cutting concerns. The architecture must evaluate each package for adoption, deferral, or rejection with explicit rationale and timing. **Decision:** 5 packages adopted now (permission, medialibrary, activitylog, sluggable, query-builder, data — these are architectural dependencies). 2 adopted when ready (backup when deploying to production; sitemap when public pages exist). 5 evaluated later (settings, schedule-monitor, newsletter, ray, schema-org). 3 rejected (laravel-model-states — PHP enums + domain methods + events are cleaner for current state machines; laravel-fractal — Laravel Data provides superior DTO/transformer support; valuestore — laravel-settings is a better fit). laravel-data is adopted for DTOs only; domain VOs remain plain PHP classes. **Consequences:** Clear distinction betwee",V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,3. Architecture Decision Records,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
ADR-8,ADR-8: Filament vs Custom Admin,HISTORICAL_TECHNICAL_DECISION,"**Status:** Accepted **Context:** The platform needs an admin panel for managing institutions, programmes, scholarships, authorities, sources, and moderation. Two options: build a custom admin with Livewire or adopt FilamentPHP. **Decision:** FilamentPHP for all admin/back-office operations. Domain rules remain outside Filament — Filament Resources invoke Actions, never contain business logic. The Filament boundary is strict: no domain operations, no invariant checks, no state transitions in Filament Resource hooks. Filament is a consumer of the domain, not a participant. **Consequences:** Rapid admin development, consistent UI, automatic policy integration via Filament Shield. The risk (developers adding business logic in Filament Resources) is mitigated by convention and code review. Filament is an architectural boundary, not a domain layer. ---",V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,3. Architecture Decision Records,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
ADR-9,ADR-9: Bounded Context Implementation,HISTORICAL_TECHNICAL_DECISION,"**Status:** Accepted **Context:** DDD recommends separate bounded contexts per subdomain. The MVP has a single core domain (Opportunity Discovery + Trust & Provenance). Future bounded contexts (Application Management, Immigration & Visa, Qualification Equivalency, User Profiles & Journey, Payment & Transactions) are identified but not needed for MVP. **Decision:** Single Laravel application with namespace separation for MVP. `App\Domain\` contains the domain model. `App\Actions\` contains use cases. `App\Queries\` contains reads. `App\Livewire\` and `App\Filament\` contain presentation. Namespace separation provides refactor seams for future bounded context extraction without requiring microservices or separate applications. **Consequences:** Pragmatic for MVP — one deployment, one database, one codebase. The namespace structure provides clear conceptual boundaries. Future extraction to ",V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,3. Architecture Decision Records,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
ADR-10,ADR-10: Namespace and Directory Structure,HISTORICAL_TECHNICAL_DECISION,"**Status:** Accepted **Context:** Laravel's default namespace places models in `App\Models\`. The domain model includes models, VOs, enums, events, services, casts, and exceptions. The architecture must decide whether to use Laravel defaults or a domain-organized namespace. **Decision:** `App\Domain\` is canonical for all domain model artifacts. `App\Domain\Models\` is the canonical model namespace (requires `config/app.php` update for `models_namespace`). `App\Domain\ValueObjects\`, `App\Domain\Enums\`, `App\Domain\Events\`, `App\Domain\Services\`, `App\Domain\Exceptions\`, `App\Domain\Casts\` complete the domain namespace. No `App\Domain\Repositories\`, no `App\Domain\Services\Interfaces\`, no `App\Domain\Aggregates\` — every directory serves a concrete purpose. **Consequences:** Anyone opening the codebase sees the domain model first and in one place. Domain cohesion is high — sibling",V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,3. Architecture Decision Records,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
