cluster,path_a,path_b,cosine_similarity,comparison_method,threshold,normalization_tokenization,grouping_rule,semantic_equivalence_inferred
ND-001,StudyNexus-Independent-Audit-Package-v3/01-CANONICAL/02-decisions.md,StudyNexus-Independent-Audit-Package-v4/01-CANONICAL/02-decisions.md,0.999530,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-003,StudyNexus-Independent-Audit-Package-v3/02-PRODUCT-EXPERIENCE/FIRST-VERTICAL-SLICE-UX.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/product-experience/FIRST-VERTICAL-SLICE-UX.md,0.990318,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-004,StudyNexus-Independent-Audit-Package-v3/02-PRODUCT-EXPERIENCE/PRODUCT-EXPERIENCE-DISCOVERY.md,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/product-experience/PRODUCT-EXPERIENCE-DISCOVERY.md,0.999606,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-004,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/product-experience/PRODUCT-EXPERIENCE-DISCOVERY.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/product-experience/PRODUCT-EXPERIENCE-DISCOVERY.md,0.969620,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-004,StudyNexus-Independent-Audit-Package-v3/02-PRODUCT-EXPERIENCE/PRODUCT-EXPERIENCE-DISCOVERY.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/product-experience/PRODUCT-EXPERIENCE-DISCOVERY.md,0.969160,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-005,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/ADVERSARIAL-DECISION-REVIEW.md,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/governance/ADVERSARIAL-DECISION-REVIEW.md,0.999514,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-005,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/governance/ADVERSARIAL-DECISION-REVIEW.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/governance/ADVERSARIAL-DECISION-REVIEW.md,0.998281,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-005,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/ADVERSARIAL-DECISION-REVIEW.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/governance/ADVERSARIAL-DECISION-REVIEW.md,0.997796,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-006,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/CANONICAL-AMENDMENT-REPORT.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/governance/CANONICAL-AMENDMENT-REPORT.md,0.964078,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-007,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/CANONICAL-UPDATE-REPORT.md,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/governance/CANONICAL-UPDATE-REPORT.md,0.994921,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-008,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/DISCOVERY-CLOSURE.md,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/governance/DISCOVERY-CLOSURE.md,0.992486,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-008,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/governance/DISCOVERY-CLOSURE.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/governance/DISCOVERY-CLOSURE.md,0.981235,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-008,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/DISCOVERY-CLOSURE.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/governance/DISCOVERY-CLOSURE.md,0.973737,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-009,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/FINAL-TARGETED-SCHEMA-PROVENANCE-HOSTILE-REVIEW.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/governance/FINAL-TARGETED-SCHEMA-PROVENANCE-HOSTILE-REVIEW.md,0.984895,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-010,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/FOUNDATIONAL-DECISIONS-ADVERSARIAL-REVIEW.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/governance/FOUNDATIONAL-DECISIONS-ADVERSARIAL-REVIEW.md,0.996883,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-011,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/FOUNDATIONAL-DECISIONS-BRIEF.md,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/governance/FOUNDATIONAL-DECISIONS-BRIEF.md,0.999049,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-011,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/governance/FOUNDATIONAL-DECISIONS-BRIEF.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/governance/FOUNDATIONAL-DECISIONS-BRIEF.md,0.993982,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-011,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/FOUNDATIONAL-DECISIONS-BRIEF.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/governance/FOUNDATIONAL-DECISIONS-BRIEF.md,0.993037,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-012,StudyNexus-Independent-Audit-Package-v4/01-CANONICAL/03-domain.md,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/canonical/03-domain.md,0.976650,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-013,StudyNexus-Independent-Audit-Package-v4/01-CANONICAL/06-data-acquisition.md,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/canonical/06-data-acquisition.md,0.964171,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-014,StudyNexus-Independent-Audit-Package-v4/02-PRODUCT-EXPERIENCE/PRODUCT-EXPERIENCE-ARCHITECTURE.md,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/product-experience/PRODUCT-EXPERIENCE-ARCHITECTURE.md,0.994727,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-014,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/product-experience/PRODUCT-EXPERIENCE-ARCHITECTURE.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/product-experience/PRODUCT-EXPERIENCE-ARCHITECTURE.md,0.988439,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-014,StudyNexus-Independent-Audit-Package-v4/02-PRODUCT-EXPERIENCE/PRODUCT-EXPERIENCE-ARCHITECTURE.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/product-experience/PRODUCT-EXPERIENCE-ARCHITECTURE.md,0.983041,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-015,StudyNexus-Pre-Implementation-Baseline/PRE-IMPLEMENTATION-BASELINE/canonical/01-business.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/canonical/01-business.md,0.996592,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-016,StudyNexus-Pre-Implementation-Baseline/PRE-IMPLEMENTATION-BASELINE/canonical/06-data-acquisition.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/30-data-acquisition-pipeline.md,0.965543,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-017,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/00-ORIENTATION/AUTHORITY-HIERARCHY.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/00-ORIENTATION/AUTHORITY-HIERARCHY.md,0.975367,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-018,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/canonical/04-architecture.md,StudyNexus-V4.3-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/04-architecture.md,0.997732,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-018,StudyNexus-V4.3-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/04-architecture.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/canonical/04-architecture.md,0.992169,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-018,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/canonical/04-architecture.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/canonical/04-architecture.md,0.989902,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-019,StudyNexus-V4.4-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/05-implementation.md,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/05-implementation.md,0.999253,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-019,StudyNexus-V4.3-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/05-implementation.md,StudyNexus-V4.4-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/05-implementation.md,0.998283,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-019,StudyNexus-V4.3-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/05-implementation.md,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/05-implementation.md,0.998255,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-019,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/canonical/05-implementation.md,StudyNexus-V4.3-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/05-implementation.md,0.978139,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-019,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/canonical/05-implementation.md,StudyNexus-V4.4-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/05-implementation.md,0.976457,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-019,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/canonical/05-implementation.md,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/05-implementation.md,0.976433,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-020,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/GLOSSARY.md,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/GLOSSARY.md,0.980960,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-021,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/README.md,StudyNexus-V4.3-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/README.md,0.996409,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-021,StudyNexus-V4.3-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/README.md,StudyNexus-V4.5-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/README.md,0.981327,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-021,StudyNexus-V4.2-Developer-Handoff v2/PRE-IMPLEMENTATION-BASELINE-V2/README.md,StudyNexus-V4.5-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/README.md,0.977775,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
ND-022,StudyNexus-V4.4-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/06-data-acquisition.md,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/06-data-acquisition.md,0.984384,TF-IDF cosine similarity on byte-unique full Markdown texts,0.96,lowercase; Unicode accent stripping; word 1-2 grams; token length >=2; sublinear TF; L2 normalization,Undirected connected component of pairs >= threshold; exact duplicates excluded before comparison,NO
