claim_id,claim,source_path,source_section,source_date_version,statement_type,decision_authority,historical_state,current_scope_state,delivery_state,evidentiary_relevance,contradicting_evidence,current_assessment,confidence,source_relationship
C011,"Stage 1/MVP is a Trusted Education Knowledge Base solving the five problem dimensions; evolution stages are strategic, not fixed roadmap.",StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md,A4-1/A4-2,2026-08-07/08,DECISION,Stakeholder definition,FROZEN,CURRENT,STRATEGIC_MVP,Explicit and repeated,Later first vertical slice narrows implementation scope,Retain strategic stage model; distinguish Stage-1 business MVP from implementation slice.,HIGH,PRIMARY_OR_CORROBORATING
C012,"MVP excludes institution/provider self-service, public API/developer platform, multi-country support and marketplace/transactional features.",StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md,A4-3,2026-08-07/08,DECISION,Stakeholder definition,FROZEN,EXCLUDED_FROM_STRATEGIC_MVP,STRATEGIC_MVP_EXCLUSION,Explicit,Later Education Services remains informational/handoff rather than transaction platform,Retain negative scope.,HIGH,PRIMARY_OR_CORROBORATING
C013,"Core MVP capabilities: acquire, organize, verify, maintain, discover, search, compare and present educational knowledge; provenance and information quality support them.",StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md,A5-1,2026-08-07/08,DECISION,Stakeholder definition,FROZEN,CURRENT,STRATEGIC_MVP,"Explicit, repeated",Later first slice implements subset,"Retain as business capability baseline, not proof every capability ships in first vertical slice.",HIGH,PRIMARY_OR_CORROBORATING
C014,"Core workflows WF1-WF6: Explore, Evaluate, Compare, Assess Eligibility, Assess Information Reliability, Make Educational Decision; application after decision is out of scope.",StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md,A6-1/A6-9,2026-08-07/08,DECISION,Stakeholder refinement,FROZEN,CURRENT,STRATEGIC_MVP,Explicit workflow discovery,Product Experience emphasizes programme discovery first,Retain as business workflow model; not necessarily UI sequence.,HIGH,PRIMARY_OR_CORROBORATING
C015,"Undergraduate-specific WF7 covers current institution/programme/year, academic calendar, requirements/status, courses, assessments, fees, deadlines, policies, scholarships and progression/transfer.",StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md,OQ7-1/OQ7-2,2026-08-08,DECISION,Owner decision,RESOLVED,CURRENT,NOT_SCHEDULED_IN_FIRST_SLICE,Explicit,Later MVP/vertical-slice docs largely stop discussing this journey,Unresolved disappearance: still-valid need unless scope explicitly changed; should not be silently dropped.,MEDIUM,PRIMARY_OR_CORROBORATING
C016,Core MVP does not require public user accounts; persistent identity should wait for persistent/personal capabilities.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md,OQ4-1,2026-08-08,DECISION,Owner decision,RESOLVED,EXCLUDED_FROM_STRATEGIC_MVP,STRATEGIC_MVP_EXCLUSION,Repeated in later product experience scope,Later future personalization/notifications assume accounts eventually,Retain as MVP non-goal.,HIGH,PRIMARY_OR_CORROBORATING
C017,Eligibility starts as authoritative requirements for self-assessment and may progress to structured evaluation when rules are reliable/machine-actionable.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md,OQ6-3,2026-08-08,DECISION,Owner decision,RESOLVED,CURRENT_REQUIREMENTS_DEFERRED_AUTOMATION,DEFERRED_AUTOMATION,Explicit,Later admissions rules remain complex/deferred automation,Retain progressive strategy; do not treat automated eligibility as MVP.,HIGH,PRIMARY_OR_CORROBORATING
C018,Early business usage of Programme meant a specific course of study offered by an institution.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/01-business.md,Glossary,2026-08-08,DISCOVERY,Canonical business doc,CURRENT AT V4.6,CURRENT_MEANING_RENAMED,UNSPECIFIED,High historical language evidence,Later domain architecture used Programme as more abstract template,"The institution-specific course-of-study meaning remains valid, but the bare word Programme is too overloaded for canonical UL. Prefer Institution Offering for this meaning unless owner rejects the remediation assumption.",HIGH,PRIMARY_OR_CORROBORATING
C019,Domain discovery promoted Programme to a first-class aggregate concept.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/11-domain-discovery-topic2.md,Programme discovery,2026-08-07,PROPOSAL,Historical domain discovery,HISTORICAL,HISTORICAL_ONLY,UNSPECIFIED,Strong evidence of modelling evolution,Later ProgrammeInstance and InstitutionOffering distinctions challenge meaning,"Historical modelling step, not immutable product truth.",HIGH,PRIMARY_OR_CORROBORATING
C020,Programme Offering/Programme Instance and Campus were initially considered missing but rejected/deferred as premature complexity.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/18-domain-resolution-analysis.md,Programme Offering / Campus,2026-08-07,REJECTED DECISION,Historical domain resolution,REJECTED,HISTORICAL_REJECTED,UNSPECIFIED,Explicit rejection and rationale,Later audit made both blockers,Rejection was historically mistaken given later concrete variation requirements.,HIGH,PRIMARY_OR_CORROBORATING
C021,ProgrammeInstance and Campus were later added because abstract Programme conflated concrete campus/delivery/year offerings.,StudyNexus-Independent-Audit-Package-v4/03-IMPLEMENTATION/STUDYNEXUS-CANONICAL-REMEDIATION-REPORT.md,FIX 3,2026-08-18,DECISION,Remediation authority,ADOPTED,CURRENT_NEED_TECHNICAL_MODEL_REOPENED,HISTORICAL_BASELINE_MODEL,Explicit blocker resolution,Contradicts earlier rejection,"The business need for concrete campus/delivery/context variation is validated. ProgrammeInstance is a historical technical/domain decomposition, not yet canonical product language.",HIGH,PRIMARY_OR_CORROBORATING
C022,AdmissionPolicy and CutOffMark were moved to ProgrammeInstance because different instances can vary.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/V4.2-REMEDIATION-REPORT.md,BLOCKER 1,2026-08-19,DECISION,Lead Architect remediation,ADOPTED,CURRENT_BUSINESS_NEED_TECHNICAL_TARGET_REOPENED,HISTORICAL_BASELINE_MODEL,Concrete modeling rationale,Sep18 InstitutionOffering terminology not reconciled,"The need to scope admission facts to the concrete offering context is current; the exact technical parent (ProgrammeInstance vs InstitutionOffering context) must follow the remediated vocabulary, not the old schema.",HIGH,PRIMARY_OR_CORROBORATING
C023,Sep18 proposes source-faithful InstitutionOffering distinct from curated DiscoveryProgramme; classification optional.,STUDYNEXUS_PROGRAMME_DISCOVERY_CLASSIFICATION-18th-Sept-2026.md,Executive Decision,2026-09-18,PROPOSAL,Proposed architecture/product-discovery decision,PROPOSED,CURRENT_SCOPE_PENDING_DECISION,UNSCHEDULED,Strong problem rationale; newest unique discovery,No approval/ratification; old Programme/ProgrammeInstance not reconciled,Strong proposed semantic correction. Remediation adopts Institution Offering as preferred business language and Discovery Programme as a distinct StudyNexus-curated product concept under an explicit assumption pending owner ratification.,MEDIUM-HIGH,PRIMARY_OR_CORROBORATING
C024,Sep18 rejects requirement for a giant global programme master and mandatory classification of every offering.,STUDYNEXUS_PROGRAMME_DISCOVERY_CLASSIFICATION-18th-Sept-2026.md,Executive Decision,2026-09-18,PROPOSAL,Proposed architecture/product-discovery decision,PROPOSED,CURRENT_SCOPE_PENDING_DECISION,UNSCHEDULED,Scale/operational rationale,"Earlier discipline taxonomy assumed one controlled discipline per Programme, but not a global programme master",Strong proposed rule. Mandatory global catalogue/classification is not supported by earlier user problems; remediation accepts optional classification as an explicit assumption because it preserves source-faithful data and avoids classification backlog blocking availability.,MEDIUM,PRIMARY_OR_CORROBORATING
C025,User reports of incorrect/outdated/missing/conflicting information enter information-quality workflow and never directly mutate canonical data.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md,OQ4-2,2026-08-08,DECISION,Owner decision,RESOLVED,CURRENT,UNSPECIFIED,Early business evidence,No material contradiction,Retain as trust product principle.,HIGH,PRIMARY_OR_CORROBORATING
C026,"Provenance and information quality are MVP business capabilities, not merely implementation concerns.",StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md,A5-1,2026-08-07/08,DECISION,Stakeholder definition,FROZEN,CURRENT,STRATEGIC_MVP_FOUNDATION,Strong repeated evidence,Implementation timing/details evolved,Retain business responsibility; separate from architecture implementation.,HIGH,PRIMARY_OR_CORROBORATING
C027,"External acquisition should use immutable raw captures, extraction/normalization/reconciliation, human review and approved import artifacts separated from canonical production.",StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/06-data-acquisition.md,Trust boundary / pipeline,2026-08-19 amended,TECHNICAL CONSTRAINT,Canonical design,CURRENT AT V4.6,CURRENT,FOUNDATIONAL,Detailed hard requirement,"V4.7 README later changes HMAC/atomicity details, not core evidence/canonical separation",Retain pipeline principle; tactical ingestion contracts require later technical reconciliation.,HIGH,PRIMARY_OR_CORROBORATING
C028,External acquisition environment must not hold production PostgreSQL/Redis/Typesense credentials.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/06-data-acquisition.md,Trust boundary,2026-08-19 amended,TECHNICAL CONSTRAINT,Canonical design,CURRENT AT V4.6,CURRENT_TECHNICAL_CONSTRAINT,UNSPECIFIED,Explicit hard boundary,V4.7 tightens trust model rather than reversing separation,Retain as current security/operational constraint.,HIGH,PRIMARY_OR_CORROBORATING
C029,MISSING does not mean DELETE; absence in a source requires review and must not silently delete/unpublish canonical facts.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/06-data-acquisition.md,MISSING ≠ DELETE,2026-08-19 amended,REQUIREMENT,Canonical design,HARD REQUIREMENT,CURRENT,FOUNDATIONAL,Repeated in Sep18,No contradiction,Retain as core information-quality principle.,HIGH,PRIMARY_OR_CORROBORATING
C030,Automated/AI extraction may assist but is not authoritative and must not silently become canonical truth.,News Post-UTME - Product Discovery Additions V2 03-09-2026.md,AI Assistance / Acquisition,2026-09-03,REQUIREMENT,Approved Product Discovery Addition,APPROVED,CURRENT,UNSPECIFIED,Approved later evidence; also proposed timetable,No contradiction,Retain as trust principle where AI is used.,HIGH,PRIMARY_OR_CORROBORATING
C031,Search and structured discovery are distinct user/product capabilities.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md,A3-3/A5-1,2026-08-07/08,DISCOVERY,Stakeholder definition,FROZEN,CURRENT,FIRST_VERTICAL_SLICE,Explicit business distinction,Later architecture sometimes blends them in search implementation,Retain distinction: search locates; discovery helps users explore without known target.,HIGH,PRIMARY_OR_CORROBORATING
C032,Typesense serves V1 public discovery while PostgreSQL is canonical detail/source data in V4.6.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/governance/DISCOVERY-CLOSURE.md,Detail Page Data Source,2026-08-10 amended through V4.6,TECHNICAL CONSTRAINT,Governance/canonical alignment,CURRENT AT V4.6,CURRENT_TECHNICAL_CONSTRAINT,TECHNICAL_CURRENT,Explicit,V4.7 README eliminates public PostgreSQL fallback but does not challenge Typesense serving role,"Technical constraint, not product outcome.",HIGH,PRIMARY_OR_CORROBORATING
C033,V4.6 allowed PostgreSQL FTS fallback for degraded/admin search; V4.7 later mandated no PostgreSQL public-search fallback.,studynexus-v4.7-remediation-package/studynexus-v4.7/README.md,Top Critical Issue 1,2026-08-26,SUPERSEDED DECISION,V4.7 remediation summary,V4.7 FROZEN CONTRACT SUMMARY,CURRENT_TECHNICAL_CONSTRAINT,TECHNICAL_CURRENT,Explicit reversal summary,V4.7 detailed deliverables are absent from supplied TAR,Treat no-public-fallback as later technical decision with weaker internal traceability because underlying ledger is missing.,MEDIUM-HIGH,PRIMARY_OR_CORROBORATING
C034,Search projections must be rebuildable from PostgreSQL canonical data.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/04-architecture.md,Search architecture,V4.6,TECHNICAL CONSTRAINT,Canonical architecture,CURRENT AT V4.6,CURRENT_TECHNICAL_CONSTRAINT,TECHNICAL_CURRENT,Repeated architecture principle,No product-level contradiction,Retain as technical integrity constraint.,HIGH,PRIMARY_OR_CORROBORATING
C035,SEO should use selective indexation/canonical pages rather than indexing every possible filter combination.,STUDYNEXUS_PROGRAMME_DISCOVERY_CLASSIFICATION-18th-Sept-2026.md,SEO landing pages,2026-09-18,PROPOSAL,Proposed product-discovery decision,PROPOSED,CURRENT_SCOPE_PENDING_DECISION,UNSCHEDULED,Consistent with earlier controlled indexation architecture,Latest proposal not approved but principle predates it,"Selective publication is strongly supported as a product principle, but exact landing-page thresholds remain proposed and should not be canonized as fixed rules.",MEDIUM-HIGH,PRIMARY_OR_CORROBORATING
C036,"Catchment/ELDS are admission-policy concepts, not permanent institution attributes.",Catchments-ELDS-Additions-03-09-2026.md,Catchment definition,2026-09-03,DISCOVERY,Approved Product Discovery Addition,APPROVED,CURRENT,UNSCHEDULED,Direct approved discovery,No contradiction,Canonical discovery.,HIGH,PRIMARY_OR_CORROBORATING
C037,Catchment can vary by institution/campus/programme/admission context and must preserve authoritative policy basis.,Catchments-ELDS-Additions-03-09-2026.md,Catchment Scope,2026-09-03,REQUIREMENT,Approved Product Discovery Addition,APPROVED,CURRENT,UNSCHEDULED,Detailed approved requirement,No contradiction,Canonical discovery; implementation scope timing not stated.,HIGH,PRIMARY_OR_CORROBORATING
C038,Nigeria-first must not mean Nigeria-hardcoded; Nigerian concepts should be represented by underlying semantics plus jurisdiction-specific terminology/classification.,Catchments-ELDS-Additions-03-09-2026.md,International Extensibility Principle,2026-09-03,PRODUCT PRINCIPLE,Approved Product Discovery Addition,APPROVED,CURRENT,SEMANTIC_CONSTRAINT,Strong later decision,Earlier MVP explicitly excludes multi-country but anticipated future expansion,"Compatible: current scope Nigeria-only, semantics should avoid unnecessary hardcoding.",HIGH,PRIMARY_OR_CORROBORATING
C039,"Funding discovery should cover broader FundingOpportunity, not only scholarship, and inform/explain/match/handoff rather than operate provider application/selection/disbursement.",Scholarships - Product Discovery Additions 03-09-2026.md,Purpose / Scope Boundary,2026-09-03,DISCOVERY,Approved Product Discovery Addition,APPROVED,CURRENT,HISTORICAL_PHASE_2_PUBLIC_EXPERIENCE,Detailed approved discovery,Earlier scholarship aggregate narrower,Retain broadened product concept; public search still Phase 2 per prior closure unless roadmap updated.,HIGH,PRIMARY_OR_CORROBORATING
C040,Funding eligibility is distinct from provider selection.,Scholarships - Product Discovery Additions 03-09-2026.md,Eligibility / Selection,2026-09-03,DISCOVERY,Approved Product Discovery Addition,APPROVED,CURRENT,UNSPECIFIED,Explicit conceptual distinction,No contradiction,Canonical discovery.,HIGH,PRIMARY_OR_CORROBORATING
C041,"Public scholarship landing/detail/search pages were deferred to Phase 2 in first vertical slice, with entity/admin and inline related scholarship data in slice.",StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/governance/DISCOVERY-CLOSURE.md,Scholarship MVP,2026-08-10/19,DECISION,Discovery closure,APPROVED IN BASELINE,CURRENT,HISTORICAL_PHASE_2_PUBLIC_EXPERIENCE,Explicit implementation-scope decision,Sep03 approves richer scholarship discovery but does not explicitly alter MVP roadmap,"Historical Phase-2 placement is delivery history only. Under the remediation scope rule, funding/scholarship discovery is current product scope; its minimum implementation slice remains to be specified.",HIGH,PRIMARY_OR_CORROBORATING
C042,Original first vertical slice deferred examination/resource discovery to Phase 2+.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/governance/DISCOVERY-CLOSURE.md,Phase scope / product experience,2026-08-10/19,DECISION,Discovery closure,APPROVED IN BASELINE,CURRENT_SCOPE_PENDING_DECISION,HISTORICAL_PHASE_2,Repeated in closure/product experience,Sep02 timetable document calls its own small surface MVP but is only proposed,"Historical exclusion from the old first vertical slice does not equal current product exclusion. Examination information is current scope under consideration; schedule semantics remain proposed, while practice/assessment remains separately deferred.",HIGH,PRIMARY_OR_CORROBORATING
C043,"Sep02 proposes exam information model: authority → product → administration → schedule events, with cancellations/postponements/history/source conflicts and informational handoff boundary.",Proposed Product Discovery Addition 02-09-2026.md,Core Conceptual Model / Product Boundary,2026-09-02,PROPOSAL,Proposed Product Discovery Addition,PROPOSED,CURRENT_SCOPE_PENDING_DECISION,UNSCHEDULED,Detailed new discovery,Not approved; overall exams previously Phase2+,Strong future/exploratory discovery; not current MVP commitment.,MEDIUM-HIGH,PRIMARY_OR_CORROBORATING
C044,"Exam practice, attempts, scoring and learner progress are different future concerns from timetable/reference information.",Proposed Product Discovery Addition 02-09-2026.md,Non-goals / related future,2026-09-02,PROPOSAL,Proposed Product Discovery Addition,PROPOSED,DEFERRED,DEFERRED,Conceptual clarity,Earlier domain bundled exams/resources broadly,"Retain as future separation signal, not architecture decision.",MEDIUM,PRIMARY_OR_CORROBORATING
C045,News reports/explains/contextualizes changes but does not become canonical owner of the underlying fact.,News Post-UTME - Product Discovery Additions V2 03-09-2026.md,Core News Principle / News and Canonical Facts,2026-09-03,PRODUCT PRINCIPLE,Approved Product Discovery Addition,APPROVED,CURRENT,UNSCHEDULED,Strong explicit requirement,No contradiction,Canonical content/trust principle.,HIGH,PRIMARY_OR_CORROBORATING
C046,Time-sensitive News and evergreen educational content have distinct user purposes/lifecycles.,News Post-UTME - Product Discovery Additions V2 03-09-2026.md,News vs Evergreen Educational Content,2026-09-03,DISCOVERY,Approved Product Discovery Addition,APPROVED,CURRENT,UNSCHEDULED,Detailed approved distinction,Earlier generic Content models did not distinguish deeply,Retain conceptual distinction; whether separate implementation responsibility is future architecture question.,HIGH,PRIMARY_OR_CORROBORATING
C047,"Post-UTME should be understood as Nigeria-specific institutional admission screening/assessment, not merely news or universally an examination.",News Post-UTME - Product Discovery Additions V2 03-09-2026.md,Post-UTME,2026-09-03,DISCOVERY,Approved Product Discovery Addition,APPROVED,CURRENT,UNSCHEDULED,Strong approved semantic correction,Earlier content may treat Post-UTME as news topic,Canonical domain discovery.,HIGH,PRIMARY_OR_CORROBORATING
C048,"Education Services & Access helps users find where/how to complete education-related tasks, with information, discovery, guidance and authoritative handoff rather than operating external services.",Education Services & Access - Product Discovery Additions 03-09-2026.md,Purpose / Product Boundary,2026-09-03,DISCOVERY,Approved Product Discovery Addition,APPROVED,CURRENT,UNSCHEDULED,Detailed approved discovery,No explicit overall roadmap placement,Canonical approved capability family; timing unresolved.,HIGH,PRIMARY_OR_CORROBORATING
C049,Service discovery should be task/service-oriented rather than merely an organization/location directory.,Education Services & Access - Product Discovery Additions 03-09-2026.md,Core Principle,2026-09-03,PRODUCT PRINCIPLE,Approved Product Discovery Addition,APPROVED,CURRENT,UNSCHEDULED,Explicit,No contradiction,Retain.,HIGH,PRIMARY_OR_CORROBORATING
C050,The dedicated ranking addition file contains no substantive evidence.,Ranking - Product Discovery Additions 03-09-2026.md,Entire file,2026-09-03,OBSERVATION,Corpus file,EMPTY,UNKNOWN,UNSPECIFIED,Certain: zero bytes,Older scattered ranking mentions exist,The dedicated ranking addition file is byte-empty; older scattered ranking references do not establish a coherent ranking product. Retain UNKNOWN pending direct discovery.,HIGH,PRIMARY_OR_CORROBORATING
C051,"Geography is used for institution location, discovery filters, admission policies, funding restrictions and service access; country/admin-unit semantics vary by jurisdiction.",Catchments-ELDS-Additions-03-09-2026.md,International extensibility + geographic policies,2026-09-03,DISCOVERY,Approved Product Discovery Addition,APPROVED,CURRENT,UNSPECIFIED,Repeated across September additions,No universal geographic business workflow established,Retain geography as shared product/domain vocabulary; architecture placement deliberately undecided.,HIGH,PRIMARY_OR_CORROBORATING
C052,"Corpus has institutions, regulators/exam authorities, scholarship providers, publishers/government/service providers, but does not establish one universal Organization identity model.",Education Services & Access - Product Discovery Additions 03-09-2026.md,Provider/Operator concepts,2026-09-03,FINDING,Cross-corpus synthesis,N/A,UNRESOLVED,UNSPECIFIED,Multiple contexts show actor identities,No explicit universal-organization decision,"Keep universal Organization as open modelling question, not canonical fact.",MEDIUM-HIGH,PRIMARY_OR_CORROBORATING
C053,Programme Discovery was prioritized as the highest-priority public journey and first vertical slice focuses programme search → programme detail → institution/admission context.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/product-experience/PRODUCT-EXPERIENCE-DISCOVERY.md,Journey priorities / first slice,2026-08-10,PROPOSAL,"Product experience discovery, later closure",APPROVED WITH CLOSURE,CURRENT,FIRST_VERTICAL_SLICE,Strong product-design evidence,Not based on direct user interviews; broader business workflows exist,"Treat as implementation/product-experience priority, not proof it is the only core user journey.",MEDIUM-HIGH,PRIMARY_OR_CORROBORATING
C054,Product experience document explicitly identifies critical MVP unknowns requiring real user research.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/product-experience/PRODUCT-EXPERIENCE-ARCHITECTURE.md,29.8 Unknowns Requiring Real User Research,2026-08-10,OPEN QUESTION,UX discovery,UNRESOLVED,CURRENT_RESEARCH_GAP,UNSPECIFIED,Direct corpus admission of research gap,No later user-research results found,Canonical reconstruction must mark UX preference claims as hypotheses until researched.,HIGH,PRIMARY_OR_CORROBORATING
C055,Corpus contains no documented completed customer interviews/surveys/usability studies; references are mostly proposed future research.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/product-experience/PRODUCT-EXPERIENCE-ARCHITECTURE.md,Hypotheses/unknowns,2026-08-10,FINDING,Corpus-wide scan,N/A,CURRENT_EVIDENCE_LIMIT,UNSPECIFIED,Search found no interview participants or completed empirical studies,Stakeholder definitions and external market research exist,Major evidence-quality limitation: user problems are well-articulated but not empirically validated in corpus.,HIGH,PRIMARY_OR_CORROBORATING
C056,Accessibility is both a foundational problem dimension and a detailed product-experience requirement.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md,Accessibility + product experience docs,2026-08-07 onward,REQUIREMENT,Stakeholder/product experience,FROZEN/APPROVED,CURRENT,UNSPECIFIED,Repeated,Detailed WCAG implementation specifics are technical/UX layer,Retain accessible/mobile-friendly presentation as product principle; exact standards belong delivery constraints.,HIGH,PRIMARY_OR_CORROBORATING
C057,"Nigeria is the current geographic product scope; international support is future, while later approved semantics avoid Nigeria-hardcoding where low-cost.",StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md,OQ1-3 + Sep Catchment,2026-08-08/09-03,DECISION,Owner + approved addition,CURRENT,CURRENT_NIGERIA_DELIVERY,NIGERIA_FIRST,Explicit,"Potential tension, not contradiction",Current scope Nigeria-only; model terminology should not falsely universalize Nigerian concepts.,HIGH,PRIMARY_OR_CORROBORATING
