path,directory,filename,bytes,words,extension,depth,readable,is_empty,sha256,exact_duplicate_group_size,duplicate_representative,is_exact_duplicate_copy,near_duplicate_cluster,unique_document_disposition,semantic_examination_status,headings
StudyNexus-Independent-Audit-Package-v3/00-ORIENTATION/PACKAGE-SCOPE.md,StudyNexus-Independent-Audit-Package-v3/00-ORIENTATION,PACKAGE-SCOPE.md,5664,730,.md,2,TRUE,FALSE,f1829cd8cce0f4c26831e16f17983a3aa7853890dde31ed0fcbb0f6874e37dcb,1,StudyNexus-Independent-Audit-Package-v3/00-ORIENTATION/PACKAGE-SCOPE.md,FALSE,,METADATA_ONLY,YES,Package Scope & Discovery Log | Source Directories Inspected | Candidate Files Discovered | Files Included | 01-CANONICAL (7 files) | 02-PRODUCT-EXPERIENCE (4 files) | 03-IMPLEMENTATION (6 files) | 04-GOVERNANCE (18 files)
StudyNexus-Independent-Audit-Package-v3/00-ORIENTATION/README.md,StudyNexus-Independent-Audit-Package-v3/00-ORIENTATION,README.md,2846,364,.md,2,TRUE,FALSE,b3c8e300090199c684899d187fefc514a19fde8eaff96950ff244412e4106935,1,StudyNexus-Independent-Audit-Package-v3/00-ORIENTATION/README.md,FALSE,,METADATA_ONLY,YES,StudyNexus — Independent Audit Package v3 | What This Package Is | How to Use This Package | Critical Cautions | Package Structure
StudyNexus-Independent-Audit-Package-v3/01-CANONICAL/01-business.md,StudyNexus-Independent-Audit-Package-v3/01-CANONICAL,01-business.md,48139,6076,.md,2,TRUE,FALSE,c0248291bdda23d03f2a592dd036864f15f9c7cdb47bce869fad5dd8198e7e01,8,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/canonical/01-business.md,TRUE,ND-015,PRODUCT_EVIDENCE,REPRESENTED_BY_EXAMINED_BYTE_UNIQUE_DOCUMENT,StudyNexus — Business (Canonical) | 1. Vision and Identity | 2. Problem Space | 2.1 Fragmentation | 2.2 Trust | 2.3 Discoverability | 2.4 Comparison | 2.5 Accessibility
StudyNexus-Independent-Audit-Package-v3/01-CANONICAL/02-decisions.md,StudyNexus-Independent-Audit-Package-v3/01-CANONICAL,02-decisions.md,73761,9604,.md,2,TRUE,FALSE,76c0f232402e5e1e5b0cc901c2c8e97abf0b5c53130aa81a907833fb984b38a8,1,StudyNexus-Independent-Audit-Package-v3/01-CANONICAL/02-decisions.md,FALSE,ND-001,HISTORICAL_EVIDENCE,YES,StudyNexus — Decisions & Architecture Decision Records | 1. Business Discovery Decisions | 1.1 Identity & Vision (A0) | 1.2 Primary Users (A1) | 1.3 Secondary Users & Architecture Principles (A2) | 1.4 Problem Space (A3) | 1.5 Strategic Evolution (A4) | 1.6 Capabilities (A5)
StudyNexus-Independent-Audit-Package-v3/01-CANONICAL/03-domain.md,StudyNexus-Independent-Audit-Package-v3/01-CANONICAL,03-domain.md,69029,8132,.md,2,TRUE,FALSE,8d345a616b453b1321e45d2612276751045f554efc22f912a7bd2e23ca9cb7c8,1,StudyNexus-Independent-Audit-Package-v3/01-CANONICAL/03-domain.md,FALSE,,HISTORICAL_EVIDENCE,YES,StudyNexus -- Domain Model | 1. Domain Principles | 2. Entity Register (11) | Aggregate Roots (5) | Child Entities (3) | Supporting Entities (3) | 3. Value Objects (28) | Genuine Domain Value Objects (12)
StudyNexus-Independent-Audit-Package-v3/01-CANONICAL/04-architecture.md,StudyNexus-Independent-Audit-Package-v3/01-CANONICAL,04-architecture.md,55196,6579,.md,2,TRUE,FALSE,1723c4f467d545d5f015b9aea6ed3167a7506c92b9350bcd3fa56ba5d0c6319a,1,StudyNexus-Independent-Audit-Package-v3/01-CANONICAL/04-architecture.md,FALSE,ND-002,HISTORICAL_EVIDENCE,YES,StudyNexus — Architecture | 1. Architectural Principles | 2. Technology Stack | Runtime and Framework | Frontend: TALL Stack | Admin Panel | Search | Canonical Stack Summary
StudyNexus-Independent-Audit-Package-v3/01-CANONICAL/05-implementation.md,StudyNexus-Independent-Audit-Package-v3/01-CANONICAL,05-implementation.md,65545,7698,.md,2,TRUE,FALSE,0ef8b6a5470ecc13f27170c25b10ff3116313017cd504a524c4f80cc8985fe3a,1,StudyNexus-Independent-Audit-Package-v3/01-CANONICAL/05-implementation.md,FALSE,,HISTORICAL_EVIDENCE,YES,StudyNexus -- Implementation Blueprint | 1. Platform Baseline | 1.1 Core Stack | 1.2 Frontend Stack (TALL) | 1.3 Admin Stack | 1.4 Auth and Testing | 1.5 Version Rationale | 2. Project Structure
StudyNexus-Independent-Audit-Package-v3/01-CANONICAL/06-data-acquisition.md,StudyNexus-Independent-Audit-Package-v3/01-CANONICAL,06-data-acquisition.md,19614,2042,.md,2,TRUE,FALSE,63fc5811f7f02929560d037de8b36c7202819fbfb330249a3892e1f1e8f95030,1,StudyNexus-Independent-Audit-Package-v3/01-CANONICAL/06-data-acquisition.md,FALSE,,HISTORICAL_EVIDENCE,YES,Data Acquisition & Ingestion Pipeline | 1. Design Principles | 2. Source Taxonomy | 3. Architecture Overview | 4. Staging Schema | 4.1 `import_batches` | 4.2 `pending_imports` | 5. Adapter Pattern
StudyNexus-Independent-Audit-Package-v3/01-CANONICAL/README.md,StudyNexus-Independent-Audit-Package-v3/01-CANONICAL,README.md,2275,291,.md,2,TRUE,FALSE,422afd2c7a59d57609da6b347cb0c33adf4b6506421b46c45d4cdc94c845d858,1,StudyNexus-Independent-Audit-Package-v3/01-CANONICAL/README.md,FALSE,,METADATA_ONLY,YES,01-CANONICAL — Current Canonical Authority | Authority: TIER 1 — HIGHEST | Why These Are Authoritative | V2 Immutability | Relationship to Implementation Plan | Documents That Must NOT Override These | Document Summary
StudyNexus-Independent-Audit-Package-v3/02-PRODUCT-EXPERIENCE/FIRST-VERTICAL-SLICE-UI.md,StudyNexus-Independent-Audit-Package-v3/02-PRODUCT-EXPERIENCE,FIRST-VERTICAL-SLICE-UI.md,55015,4302,.md,2,TRUE,FALSE,a1b3e5dd59e48a7ab173bd3139020be51428c335990f5148fc2fd76dd694e9ba,3,StudyNexus-Independent-Audit-Package-v3/02-PRODUCT-EXPERIENCE/FIRST-VERTICAL-SLICE-UI.md,FALSE,,PRODUCT_EVIDENCE,YES,StudyNexus — First Vertical Slice Visual UI Specification | 1. Resolved UX Decisions | 2. Visual Design Direction | 2.1 Visual Personality | 2.2 Design Principles | 3. Design Tokens | 3.1 Color | Semantic Color Roles
StudyNexus-Independent-Audit-Package-v3/02-PRODUCT-EXPERIENCE/FIRST-VERTICAL-SLICE-UX.md,StudyNexus-Independent-Audit-Package-v3/02-PRODUCT-EXPERIENCE,FIRST-VERTICAL-SLICE-UX.md,51755,5787,.md,2,TRUE,FALSE,9bab280b9983c6225af616da0de7a8a66a042bdb701b6141466eda8bc33b928b,3,StudyNexus-Independent-Audit-Package-v3/02-PRODUCT-EXPERIENCE/FIRST-VERTICAL-SLICE-UX.md,FALSE,ND-003,PRODUCT_EVIDENCE,YES,StudyNexus — First Vertical Slice UX Specification | 1. Slice Objective | 2. Target User | 3. User Problem | 4. Success Criteria | 5. Entry Points | 6. User Flows | Flow 1 — Targeted Search (most common)
StudyNexus-Independent-Audit-Package-v3/02-PRODUCT-EXPERIENCE/PRODUCT-EXPERIENCE-ARCHITECTURE.md,StudyNexus-Independent-Audit-Package-v3/02-PRODUCT-EXPERIENCE,PRODUCT-EXPERIENCE-ARCHITECTURE.md,77985,8960,.md,2,TRUE,FALSE,e7cb8c96a4930602c1dcf2a9857e8237908454d3b35105098f2f6163f58a49c9,2,StudyNexus-Independent-Audit-Package-v3/02-PRODUCT-EXPERIENCE/PRODUCT-EXPERIENCE-ARCHITECTURE.md,FALSE,,PRODUCT_EVIDENCE,YES,StudyNexus — Product Experience Architecture | 1. Product Experience Map | 1.1 Top-Level Experience Domains | 1.2 Experience Flow Model | 2. User Types | 2.1 Primary Users (MVP) | Prospective Student (SS3 / Secondary School Graduate) | Undergraduate Student
StudyNexus-Independent-Audit-Package-v3/02-PRODUCT-EXPERIENCE/PRODUCT-EXPERIENCE-DISCOVERY.md,StudyNexus-Independent-Audit-Package-v3/02-PRODUCT-EXPERIENCE,PRODUCT-EXPERIENCE-DISCOVERY.md,63696,7291,.md,2,TRUE,FALSE,c1b7d7aeec13283a87a4104c37d43cd1a686b9bced49dc6fe10f012f30b29d34,2,StudyNexus-Independent-Audit-Package-v3/02-PRODUCT-EXPERIENCE/PRODUCT-EXPERIENCE-DISCOVERY.md,FALSE,ND-004,PRODUCT_EVIDENCE,YES,StudyNexus — Product Experience & UI/UX Discovery Report | 1. Executive Conclusion | 2. Primary Users | 3. Primary User Journeys | Journey 1: Programme Discovery (HIGHEST PRIORITY) | Journey 2: Institution Discovery | Journey 3: Scholarship Discovery | Journey 4: Compare Programmes/Institutions
StudyNexus-Independent-Audit-Package-v3/03-IMPLEMENTATION/IMPLEMENTATION-MODEL-RECONCILIATION.md,StudyNexus-Independent-Audit-Package-v3/03-IMPLEMENTATION,IMPLEMENTATION-MODEL-RECONCILIATION.md,30177,2842,.md,2,TRUE,FALSE,6aba954e4be3a969710e8e9d2e353aac8407540c8a3cf878af2df3dbea38e472,2,StudyNexus-Independent-Audit-Package-v3/03-IMPLEMENTATION/IMPLEMENTATION-MODEL-RECONCILIATION.md,FALSE,,IMPLEMENTATION_ONLY,YES,Implementation Model Reconciliation | 1. Entities (11) — Reconciled | 1.1 Aggregate Roots (5) | Educational Institution | Programme | Scholarship | Admission Cycle | Information Source
StudyNexus-Independent-Audit-Package-v3/03-IMPLEMENTATION/IMPLEMENTATION-PLAN-AUDIT.md,StudyNexus-Independent-Audit-Package-v3/03-IMPLEMENTATION,IMPLEMENTATION-PLAN-AUDIT.md,56139,6729,.md,2,TRUE,FALSE,3d91d88d8f5aa4d4a36fa6f3f62c75e351ceb506bce26275cf23150e755b0387,2,StudyNexus-Independent-Audit-Package-v3/03-IMPLEMENTATION/IMPLEMENTATION-PLAN-AUDIT.md,FALSE,,IMPLEMENTATION_ONLY,YES,StudyNexus — Implementation Plan Hostile Audit | 1. Executive Verdict | 2. Baseline Conformance | 2.1 Critical Contradictions | C1: Institution Lifecycle States Contradict Canonical | C2: InstitutionType Enum Has 6 Values; Canonical Has 4 | C3: Missing InstitutionStatus Enum | C4: Missing is_published and published_at on Institution
StudyNexus-Independent-Audit-Package-v3/03-IMPLEMENTATION/IMPLEMENTATION-PLAN-CORRECTION-REPORT.md,StudyNexus-Independent-Audit-Package-v3/03-IMPLEMENTATION,IMPLEMENTATION-PLAN-CORRECTION-REPORT.md,20088,2210,.md,2,TRUE,FALSE,fc14db8d959ce51fb25283791022a57d768611f18930c9f829a21ce8b5e560ba,2,StudyNexus-Independent-Audit-Package-v3/03-IMPLEMENTATION/IMPLEMENTATION-PLAN-CORRECTION-REPORT.md,FALSE,,IMPLEMENTATION_ONLY,YES,StudyNexus — Implementation Plan Correction Report | Methodology | Finding 1 — Institution Lifecycle States | Finding 2 — Institution Type Values | Finding 3 — Publication vs Domain Lifecycle | Finding 4 — Programme Lifecycle States | Finding 5 — Scholarship Status Missing Draft | Finding 6 — Non-Canonical Actions
StudyNexus-Independent-Audit-Package-v3/03-IMPLEMENTATION/IMPLEMENTATION-PLAN-FINAL-AUDIT.md,StudyNexus-Independent-Audit-Package-v3/03-IMPLEMENTATION,IMPLEMENTATION-PLAN-FINAL-AUDIT.md,17561,1846,.md,2,TRUE,FALSE,59cb79c88cf575fe7f5215a2cd11698d0decda4c24d87f73ca43862a0e3885c4,2,StudyNexus-Independent-Audit-Package-v3/03-IMPLEMENTATION/IMPLEMENTATION-PLAN-FINAL-AUDIT.md,FALSE,,IMPLEMENTATION_ONLY,YES,StudyNexus — Implementation Plan Final Audit | 1. Baseline Conformance | 2. Table Inventory | 3. Migration Dependencies | 4. UX/UI Conformance | 5. Domain/Lifecycle Conformance | 6. Seed Data Coverage | 7. Test Coverage
StudyNexus-Independent-Audit-Package-v3/03-IMPLEMENTATION/IMPLEMENTATION-PLAN-FINAL-CLEANUP-REPORT.md,StudyNexus-Independent-Audit-Package-v3/03-IMPLEMENTATION,IMPLEMENTATION-PLAN-FINAL-CLEANUP-REPORT.md,10324,1273,.md,2,TRUE,FALSE,fd1c9c52ed274924bca012fda2ea24350c5675d9a2e4c14e69bcf39aafb8a9b9,2,StudyNexus-Independent-Audit-Package-v3/03-IMPLEMENTATION/IMPLEMENTATION-PLAN-FINAL-CLEANUP-REPORT.md,FALSE,,IMPLEMENTATION_ONLY,YES,StudyNexus — Implementation Plan Final Cleanup Report | Corrections Applied | Correction 1 — Discipline PK Type | Correction 2 — InformationCategory Enum | Correction 3 — Contract-Freeze Gate | Consistency Check Results | Confirmation: No Architectural Decisions Changed | Confirmation: V2 Baseline Remains Untouched
StudyNexus-Independent-Audit-Package-v3/03-IMPLEMENTATION/IMPLEMENTATION-PLAN.md,StudyNexus-Independent-Audit-Package-v3/03-IMPLEMENTATION,IMPLEMENTATION-PLAN.md,90465,8802,.md,2,TRUE,FALSE,cf4fb8d47c8b1018f1a7c6d41b37050c332bf9637722dc9b794285f3f4c501ef,2,StudyNexus-Independent-Audit-Package-v3/03-IMPLEMENTATION/IMPLEMENTATION-PLAN.md,FALSE,,IMPLEMENTATION_ONLY,YES,StudyNexus — Implementation Plan (Corrected) | Conventions Used Throughout | Section 1 — Project Bootstrap | 1.1 Laravel Project Creation | 1.2 Directory Structure (Laravel Beyond CRUD) | 1.3 Initial Configuration | Section 2 — Package Installation and Verification | 2.1 Core Framework Packages
StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/05-implementation-RECONCILIATION-PROPOSAL.md,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE,05-implementation-RECONCILIATION-PROPOSAL.md,36336,4099,.md,2,TRUE,FALSE,b8c807e714a0229a28b1cc82190226206e2a5dac044997a8bd4ed011f9142bbb,2,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/05-implementation-RECONCILIATION-PROPOSAL.md,FALSE,,GOVERNANCE_EVIDENCE,YES,05-implementation.md Reconciliation Proposal | Change Classification Legend | CRITICAL Changes (7) | Change 1: ScholarshipStatus Enum Values | Change 2: InformationSource Status — Rename and Replace Values | Change 3: EligibilityPolicy Ownership — Change belongsTo Target | Change 4: AdmissionCycle Ownership — Change belongsTo Target | Change 5: AccreditationRecord Ownership — Change to Polymorphic Accreditable
StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/ADVERSARIAL-DECISION-REVIEW.md,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE,ADVERSARIAL-DECISION-REVIEW.md,132336,17708,.md,2,TRUE,FALSE,5a62bf40af2041a22ac3f5169e34455dc005ff032aed66ad0b5195fdd304431c,2,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/ADVERSARIAL-DECISION-REVIEW.md,FALSE,ND-005,GOVERNANCE_EVIDENCE,YES,StudyNexus — Adversarial Decision Review | PART 1 — REOPEN THE FIVE DECISIONS | 1.1 BD-1 — Residual UUID Question | 1.2 BD-3 — AdmissionCycle Phase Storage | 1.3 BD-5 — External Identifier Model | 1.4 ND-5 — InformationSource Classification | 1.5 ND-4 — Provenance Model | PART 2 — SPECIAL SCRUTINY OF BD-1
StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/BASELINE-RECONCILIATION-AUDIT.md,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE,BASELINE-RECONCILIATION-AUDIT.md,49857,5648,.md,2,TRUE,FALSE,c52ccbe8b468bb5c76494afdfc52ef81c109d146b1bdd0465231fcfdfa29af1f,2,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/BASELINE-RECONCILIATION-AUDIT.md,FALSE,,GOVERNANCE_EVIDENCE,YES,Baseline Reconciliation Audit | Summary Statistics | CRITICAL Findings (7) | F-C01: ScholarshipStatus enum values differ completely | F-C02: InformationSource lifecycle differs fundamentally | F-C03: EligibilityPolicy ownership differs | F-C04: AdmissionCycle ownership differs | F-C05: AccreditationRecord ownership differs
StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/CANONICAL-AMENDMENT-REPORT.md,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE,CANONICAL-AMENDMENT-REPORT.md,12695,1494,.md,2,TRUE,FALSE,95c8a3fc49a889cf83fada2239bf2cb4c7165775924312a07c928dc6fccb8401,7,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/CANONICAL-AMENDMENT-REPORT.md,FALSE,ND-006,GOVERNANCE_EVIDENCE,YES,"StudyNexus — Canonical Amendment Report | 1. Files Modified | 2. Exact Amendments Applied | 2.1 Foundational Decisions (BD-1, BD-3, BD-5, ND-5, ND-4) | 2.2 Schema Changes | 2.3 Enum Alignments | 2.4 Implementation Specifications Added | 3. Decisions Reflected"
StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/CANONICAL-AUTHORITY-MATRIX.md,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE,CANONICAL-AUTHORITY-MATRIX.md,9343,1186,.md,2,TRUE,FALSE,5aa306d9f3eafa06f900633c6a1dfdaaf3e8a1d846e005d9d4230c492f7dcad7,2,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/CANONICAL-AUTHORITY-MATRIX.md,FALSE,,GOVERNANCE_EVIDENCE,YES,Canonical Authority Matrix | Governing Principle | Authority Assignments | Tier 1: Primary Authority (Single Document Governs) | Tier 2: Subordinate Authority (Governed by Tier 1 for Domain Concepts) | Conflict Resolution Protocol | Step 1: Identify the Category | Step 2: Check Authority Matrix
StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/CANONICAL-CONSISTENCY-AUDIT.md,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE,CANONICAL-CONSISTENCY-AUDIT.md,20262,1694,.md,2,TRUE,FALSE,0939f0c1a439373453ff4cb26ceecbaf53f3fe65efda48820973acdc758c97a2,2,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/CANONICAL-CONSISTENCY-AUDIT.md,FALSE,,GOVERNANCE_EVIDENCE,YES,StudyNexus — Canonical Consistency Audit (Post-Amendment) | 1. Audit Methodology | 2. Terminology Consistency | 3. Entity Consistency | 3.1 Aggregate Roots (5) | 3.2 Child Entities (3) | 3.3 Supporting Entities (3) | 3.4 Infrastructure Entities (2)
StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/CANONICAL-UPDATE-REPORT.md,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE,CANONICAL-UPDATE-REPORT.md,15525,1916,.md,2,TRUE,FALSE,3349b8b317edc674d09dbc14dcc3d05d453c401f6b5408b84a1c0799c032aeea,3,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/CANONICAL-UPDATE-REPORT.md,FALSE,ND-007,GOVERNANCE_EVIDENCE,YES,StudyNexus — Canonical Update Report | 1. The 12 Changes Applied | 2. Documents Affected | 3. Cross-References Updated | 4. Final Canonical Counts | 5. Final Platform Versions | 6. Final Product Scope | 7. Final Acquisition Boundary
StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/DISCOVERY-CLOSURE.md,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE,DISCOVERY-CLOSURE.md,36718,4575,.md,2,TRUE,FALSE,38a7fd221b4773f59b70b868c985d6ae350497f34aae105a91c968d614884cb1,3,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/DISCOVERY-CLOSURE.md,FALSE,ND-008,GOVERNANCE_EVIDENCE,YES,StudyNexus — Final Discovery Closure & Implementation Readiness Gate | 1. Final Decision Triage | 2. Publication Modeling — Final Check | State Separation (Explicit) | Republishing Semantics | Verdict: APPROVE | 3. Cut-Off History — Final Check | Scenario Analysis
StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/external-identifiers-status-vs-validity-hostile-review.md,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE,external-identifiers-status-vs-validity-hostile-review.md,23454,3004,.md,2,TRUE,FALSE,3bf3c053e577a3bd55128f5f8332b4c5b6cf2e2acb1fc95d293c0e14e149ee2b,2,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/external-identifiers-status-vs-validity-hostile-review.md,FALSE,,GOVERNANCE_EVIDENCE,YES,"HOSTILE ARCHITECTURE REVIEW: external_identifiers status vs. validity | 1. Current Schema (ADR-DL1 Final) | 2. Exact Column Semantics (As-Designed vs. As-Needed) | 3. Adversarial State Construction | State 1: `status='active'`, `valid_until` in the past | State 2: `status='retired'`, `valid_until=NULL` | State 3: `status='superseded'`, `valid_until` in the future | State 4: `status='active'`, `valid_from` in the future"
StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/FINAL-LINEAGE-SEMANTICS-RESOLUTION.md,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE,FINAL-LINEAGE-SEMANTICS-RESOLUTION.md,38186,4546,.md,2,TRUE,FALSE,aa4f2cded2f1b917dd23098df63c8db649fa6cfb760f1fb075550706b1b0b45a,8,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/governance/FINAL-LINEAGE-SEMANTICS-RESOLUTION.md,TRUE,,GOVERNANCE_EVIDENCE,REPRESENTED_BY_EXAMINED_BYTE_UNIQUE_DOCUMENT,StudyNexus — Final Lineage Semantics Resolution | 1. Executive Verdict | GO FOR CANONICAL AMENDMENT | Resolutions Summary | 2. Editorial Provenance Decision | The Question | Domain Reasoning | Four-Way Evaluation
