decision_id,date_from,date_to,context,problem,alternatives,decision,rationale,source_path,decision_authority,historical_state,current_scope_effect,delivery_effect,later_challenge,current_assessment,confidence
D013,2026-08-19,2026-08-19,Missing source data,How to treat absence,Delete/unpublish vs review,MISSING ≠ DELETE,Absence is ambiguous evidence,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/06-data-acquisition.md,Historical stakeholder/canonical authority as stated in source,ADOPTED,CURRENT,UNSPECIFIED,Reaffirmed Sep18,CURRENT HARD PRINCIPLE,HIGH
D014,2026-09-03,2026-09-03,Admissions geography,Catchment/ELDS model,Institution attr vs policy context,Policy-context geography; ELDS jurisdiction-specific,Varies by policy/campus/programme/cycle,Catchments-ELDS-Additions-03-09-2026.md,Historical stakeholder/canonical authority as stated in source,ADOPTED,CURRENT,UNSPECIFIED,Implementation scope not placed,CURRENT DISCOVERY,HIGH
D015,2026-09-03,2026-09-03,Funding discovery,Scholarship-only vs broader funding,Scholarship entity vs FundingOpportunity,Broaden to FundingOpportunity and provider handoff,Real opportunities vary in benefits/criteria/cycles,Scholarships - Product Discovery Additions 03-09-2026.md,Historical stakeholder/canonical authority as stated in source,DEFERRED,CURRENT,UNSPECIFIED,Phase2 public UX from earlier closure,CURRENT DISCOVERY; ROADMAP DEFERRED,MEDIUM
D016,2026-09-03,2026-09-03,News,What owns changed facts,News as fact store vs reporting layer,Underlying canonical domain owns fact; News reports/explains,Avoid duplicate truth,News Post-UTME - Product Discovery Additions V2 03-09-2026.md,Historical stakeholder/canonical authority as stated in source,ADOPTED,CURRENT,UNSPECIFIED,No contradiction,CURRENT DISCOVERY,HIGH
D017,2026-09-03,2026-09-03,Post-UTME,Classification,News/exam vs admissions screening,Treat as institutional admission screening/assessment,Term is Nigeria-specific and function is admissions-related,News Post-UTME - Product Discovery Additions V2 03-09-2026.md,Historical stakeholder/canonical authority as stated in source,ADOPTED,CURRENT,UNSPECIFIED,Earlier casual grouping may differ,CURRENT DISCOVERY,HIGH
D018,2026-09-03,2026-09-03,Education services,Directory vs task-oriented discovery,Organization directory vs service/task model,Model user task/service access and authoritative handoff,Users ask where/how to do task,Education Services & Access - Product Discovery Additions 03-09-2026.md,Historical stakeholder/canonical authority as stated in source,ADOPTED,CURRENT,UNSPECIFIED,Roadmap placement unknown,CURRENT DISCOVERY,HIGH
D019,2026-09-02,2026-09-02,Examination scheduling,Minimum exam info model,Single exam/date vs authority/product/administration/events,Proposed authority→product→administration→schedule events,Handles recurring administrations and revisions,Proposed Product Discovery Addition 02-09-2026.md,Historical stakeholder/canonical authority as stated in source,PROPOSED,CURRENT_SCOPE_PENDING_DECISION,UNSPECIFIED,Not approved; exams previously Phase2,PROPOSED,MEDIUM
D020,2026-09-18,2026-09-18,Programme discovery scale,Global programme naming/classification,Global mandatory master vs source offerings + optional discovery mapping,Propose InstitutionOffering + optional DiscoveryProgramme classification,Preserve institutional terminology and control semantic workload,STUDYNEXUS_PROGRAMME_DISCOVERY_CLASSIFICATION-18th-Sept-2026.md,Historical stakeholder/canonical authority as stated in source,PROPOSED,CURRENT_SCOPE_PENDING_DECISION,UNSPECIFIED,No ratification; ProgrammeInstance relationship unresolved,PROPOSED,MEDIUM
D021,2026-09-21,2026-09-21,Forensic remediation,Historical phase labels were being used as current scope exclusions,Keep old roadmap as present scope authority | Reassess scope independently,Treat historical delivery phase as separate from current product scope; apply present default-current rule while preserving explicit exclusions/dependencies.,The remediation protocol explicitly changes the operating scope rule.,Current remediation protocol (user instruction),Current owner instruction,CURRENT_REMEDIATION_RULE,CURRENT,SEPARATE_DIMENSION,None; future owner instruction may change,"Current governing remediation rule, not a historical corpus claim.",HIGH
D022,2026-09-21,2026-09-21,Forensic vocabulary remediation,Programme / ProgrammeInstance / InstitutionOffering / DiscoveryProgramme overload blocks UL,Retain Programme+ProgrammeInstance | Adopt InstitutionOffering only | Distinguish InstitutionOffering and DiscoveryProgramme with contextual variant left open,"For UL, use Institution Offering for source-faithful institution-specific offering and Discovery Programme for StudyNexus-curated discovery concept; treat ProgrammeInstance as historical technical/domain language for contextual variation.","Best reconciles early business meaning, later real variation, and Sep18 distinction without importing schema into product language.",STUDYNEXUS_PROGRAMME_DISCOVERY_CLASSIFICATION-18th-Sept-2026.md,Remediation conclusion with explicit assumption; owner ratification still desirable,RESOLVED_WITH_EXPLICIT_ASSUMPTION,CURRENT,UL_INPUT,Reopen if representative source data requires a stable separate business concept for offering variants or owner rejects terminology.,"Sufficient for UL, not permission to freeze database schema.",MEDIUM-HIGH
D023,2026-09-21,2026-09-21,Forensic vocabulary remediation,Recognition is too broad/overloaded for UL,Generic Recognition umbrella | Specific accreditation/qualification/institution status terms,Do not canonize a universal Recognition concept yet; use Accreditation for authority quality decisions and keep Qualification Recognition / Institution approval-status semantically distinct.,Corpus and regulator evidence show different subjects/scopes/lifecycles; architecture-level Recognition grouping is not product-language proof.,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/16-domain-discovery-topic3.md,Forensic remediation conclusion,RESOLVED,CURRENT,UL_INPUT,Reopen if future discovery identifies a business workflow/rule shared across all recognition forms.,UL-ready distinction; campus/location accreditation scope remains non-blocking research.,HIGH
